day;averagePathLength
1;5.493892102005354
2;5.8670383942911135
3;5.494683752182142
4;5.984320067395278
5;6.3118091319280865
6;5.915391843226148
7;6.047264289453103
8;5.649758843823484
9;6.085514520177591
10;5.88350753809719
11;5.965495131587522
12;5.78273482816811
13;5.692985870113141
14;5.3598398840482275
15;5.765410756978723
16;5.605327478493711
17;5.578961858382716
18;5.67887552650065
19;5.4046482541484195
20;6.257303247238025
21;5.831358700962103
22;5.534343059952204
23;5.73235403387057
24;5.960446786685656
25;6.652054130788991
26;6.558538784785471
27;6.361387860197669
28;6.764983122744472
29;6.5769021078893255
30;6.049410004935551
