day;averagePathLength
1;2.1713231756214917
2;2.1832494780436047
3;2.1757620194825598
4;2.173139037031473
5;2.1692656856285235
6;2.2516399986116413
7;2.145693243675953
8;2.197485662443703
9;2.1886954858454475
10;2.1878046099160833
11;2.355349898580122
12;2.065974949361333
13;2.21998577227267
14;2.2321259245211453
15;2.1052933229622957
16;2.1707163025709617
17;2.2770511834185636
18;2.1246621084433137
19;2.16545352743561
20;2.1503440199092374
21;2.116723635903279
22;2.1970684039087947
23;2.124061708496431
24;2.1714165772657306
25;2.087402247486364
26;2.204708290685773
27;2.1521320318520423
28;2.1505003849114703
29;2.3532551396942543
30;2.217391304347826
