day;averagePathLength
1;2.980168269230769
2;2.7033898305084745
3;3.0342669845053636
4;2.8454513523006675
5;3.0263009049773757
6;2.907605633802817
7;2.664683234161708
8;2.83704786262331
9;2.5566561014263076
10;2.2220376522702106
11;2.557010539763654
12;2.8692660550458715
13;2.8000600420294206
14;2.659188034188034
15;2.6813428728673636
16;2.758832116788321
17;2.9608095085126886
18;2.74402467232074
19;2.4170367379895032
20;2.53495598135681
21;2.765578635014837
22;2.6426403641881637
23;2.729634002361275
24;2.829811214426599
25;2.480734605689593
26;2.494459833795014
27;2.688372093023256
28;2.756365740740741
29;2.430006697923644
30;2.70279086625589
