day;averagePathLength
1;4.402131815488217
2;4.508440608725304
3;4.419051614342688
4;4.307467546733192
5;4.366459710335381
6;4.317560921130064
7;4.249059770246353
8;4.305008605974903
9;4.2985410150483325
10;4.302889858907616
11;4.231317755013523
12;4.171984177576823
13;4.174427432459882
14;4.2460316872275525
15;4.173852391641112
16;4.112549517514673
17;4.205340507387228
18;4.248916614871838
19;4.1146274164325725
20;4.224387166578898
21;4.062105890884461
22;4.087094620076881
23;4.28327845589295
24;4.173702633079661
25;4.169306197511649
26;4.029927476709267
27;4.0247560095976915
28;4.136941043942021
29;4.096634614483287
30;4.080697966484912
