type,range,value
N_M,0,21.247074235000003
N_T,0,17.075836172000002
S_M,0,4.526399982
S_T,0,23.268368778
N_M,1-10,7.840712154
N_T,1-10,9.929553283
S_M,1-10,21.581432815000003
S_T,1-10,5.922023478999998
N_M,11-20,0.6050682610000001
N_T,11-20,1.7732640579999999
S_M,11-20,2.9070752869999996
S_T,11-20,0.477853468
N_M,21-30,0.17618205900000003
N_T,21-30,0.625034825
S_M,21-30,0.596317332
S_T,21-30,0.154845777
N_M,31-40,0.066907245
N_T,31-40,0.25182900199999997
S_M,31-40,0.20482619999999999
S_T,31-40,0.07953798000000001
N_M,41-50,0.030854811000000003
N_T,41-50,0.140759406
S_M,41-50,0.08577352299999999
S_T,41-50,0.039023911
N_M,51-60,0.019234696
N_T,51-60,0.08521545000000001
S_M,51-60,0.047541009
S_T,51-60,0.027127943
N_M,61-70,0.007126037
N_T,61-70,0.0477475
S_M,61-70,0.017613443
S_T,61-70,0.008692802999999999
N_M,71-80,0.0029574230000000003
N_T,71-80,0.017008824999999998
S_M,71-80,0.013474522999999999
S_T,71-80,0.006949773
N_M,81-90,0.0016053299999999999
N_T,81-90,0.019745549
S_M,81-90,0.006662172
S_T,81-90,0.0026634249999999996
N_M,91-100,0.0011409200000000001
N_T,91-100,0.011478871
S_M,91-100,0.005793896
S_T,91-100,0.0017849270000000002
N_M,>100,0.001136829
N_T,>100,0.022527064999999995
S_M,>100,0.0070898110000000006
S_T,>100,0.011127730999999998
