day,type,range,value
1,N_M,0,0.666177908
1,N_M,1-10,0.300097752
1,N_M,11-20,0.023460411
1,N_M,21-30,0.007820137
1,N_M,31-40,0.000977517
1,N_M,41-50,0.000977517
1,N_M,51-60,0.000488759
1,N_M,61-70,0.0
1,N_M,71-80,0.0
1,N_M,81-90,0.0
1,N_M,91-100,0.0
1,N_M,>100,0.0
2,N_M,0,0.685255198
2,N_M,1-10,0.287334594
2,N_M,11-20,0.017013233
2,N_M,21-30,0.007088847
2,N_M,31-40,0.001417769
2,N_M,41-50,0.00047259
2,N_M,51-60,0.00094518
2,N_M,61-70,0.0
2,N_M,71-80,0.0
2,N_M,81-90,0.00047259
2,N_M,91-100,0.0
2,N_M,>100,0.0
3,N_M,0,0.673387097
3,N_M,1-10,0.287802419
3,N_M,11-20,0.02671371
3,N_M,21-30,0.006552419
3,N_M,31-40,0.004032258
3,N_M,41-50,0.000504032
3,N_M,51-60,0.000504032
3,N_M,61-70,0.000504032
3,N_M,71-80,0.0
3,N_M,81-90,0.0
3,N_M,91-100,0.0
3,N_M,>100,0.0
4,N_M,0,0.667700258
4,N_M,1-10,0.305943152
4,N_M,11-20,0.019121447
4,N_M,21-30,0.005684755
4,N_M,31-40,0.001550388
4,N_M,41-50,0.0
4,N_M,51-60,0.0
4,N_M,61-70,0.0
4,N_M,71-80,0.0
4,N_M,81-90,0.0
4,N_M,91-100,0.0
4,N_M,>100,0.0
5,N_M,0,0.679581152
5,N_M,1-10,0.288481675
5,N_M,11-20,0.021989529
5,N_M,21-30,0.005759162
5,N_M,31-40,0.003664921
5,N_M,41-50,0.00052356
5,N_M,51-60,0.0
5,N_M,61-70,0.0
5,N_M,71-80,0.0
5,N_M,81-90,0.0
5,N_M,91-100,0.0
5,N_M,>100,0.0
6,N_M,0,0.710309278
6,N_M,1-10,0.255670103
6,N_M,11-20,0.022680412
6,N_M,21-30,0.005670103
6,N_M,31-40,0.004123711
6,N_M,41-50,0.000515464
6,N_M,51-60,0.001030928
6,N_M,61-70,0.0
6,N_M,71-80,0.0
6,N_M,81-90,0.0
6,N_M,91-100,0.0
6,N_M,>100,0.0
7,N_M,0,0.702528508
7,N_M,1-10,0.269211701
7,N_M,11-20,0.02131879
7,N_M,21-30,0.003470501
7,N_M,31-40,0.001487357
7,N_M,41-50,0.000495786
7,N_M,51-60,0.001487357
7,N_M,61-70,0.0
7,N_M,71-80,0.0
7,N_M,81-90,0.0
7,N_M,91-100,0.0
7,N_M,>100,0.0
8,N_M,0,0.689655172
8,N_M,1-10,0.279464745
8,N_M,11-20,0.018528049
8,N_M,21-30,0.007205353
8,N_M,31-40,0.003088008
8,N_M,41-50,0.001029336
8,N_M,51-60,0.000514668
8,N_M,61-70,0.0
8,N_M,71-80,0.000514668
8,N_M,81-90,0.0
8,N_M,91-100,0.0
8,N_M,>100,0.0
9,N_M,0,0.695381422
9,N_M,1-10,0.270368448
9,N_M,11-20,0.026984951
9,N_M,21-30,0.003113648
9,N_M,31-40,0.00363259
9,N_M,41-50,0.000518941
9,N_M,51-60,0.0
9,N_M,61-70,0.0
9,N_M,71-80,0.0
9,N_M,81-90,0.0
9,N_M,91-100,0.0
9,N_M,>100,0.0
10,N_M,0,0.671780822
10,N_M,1-10,0.303561644
10,N_M,11-20,0.017534247
10,N_M,21-30,0.004383562
10,N_M,31-40,0.000547945
10,N_M,41-50,0.0
10,N_M,51-60,0.001643836
10,N_M,61-70,0.0
10,N_M,71-80,0.0
10,N_M,81-90,0.000547945
10,N_M,91-100,0.0
10,N_M,>100,0.0
11,N_M,0,0.668112798
11,N_M,1-10,0.301518438
11,N_M,11-20,0.018438178
11,N_M,21-30,0.00813449
11,N_M,31-40,0.001084599
11,N_M,41-50,0.001626898
11,N_M,51-60,0.0
11,N_M,61-70,0.000542299
