type,range,value
N_M,0,22.127973304999998
N_T,0,16.527001140000003
S_M,0,19.053292234999997
S_T,0,21.827289493
N_M,1-10,6.939713202000001
N_T,1-10,10.474605092
S_M,1-10,9.001955849000002
S_T,1-10,7.44947158
N_M,11-20,0.5933742539999999
N_T,11-20,1.809533156
S_M,11-20,0.7146106030000002
S_T,11-20,0.47761562700000004
N_M,21-30,0.184933132
N_T,21-30,0.6150614070000001
S_M,21-30,0.202826368
S_T,21-30,0.121557824
N_M,31-40,0.073950421
N_T,31-40,0.255173052
S_M,31-40,0.10593233299999999
S_T,31-40,0.056607371999999996
N_M,41-50,0.035230014000000004
N_T,41-50,0.137209412
S_M,41-50,0.098059615
S_T,41-50,0.032226230999999994
N_M,51-60,0.016887794999999997
N_T,51-60,0.07471267599999999
S_M,51-60,0.18681893400000002
S_T,51-60,0.016694274
N_M,61-70,0.008500533
N_T,61-70,0.048766529999999995
S_M,61-70,0.127153988
S_T,61-70,0.005524602
N_M,71-80,0.009098034
N_T,71-80,0.019372288
S_M,71-80,0.056742633
S_T,71-80,0.004495191000000001
N_M,81-90,0.002150316
N_T,81-90,0.014959776000000003
S_M,81-90,0.032178463
S_T,81-90,0.003971846
N_M,91-100,0.00239724
N_T,91-100,0.007102804000000001
S_M,91-100,0.029564085999999996
S_T,91-100,0.002841993
N_M,>100,0.0057917540000000005
N_T,>100,0.016502676
S_M,>100,0.39086488599999997
S_T,>100,0.00170396
