day,type,range,value
1,N_M,0,0.708699902
1,N_M,1-10,0.255131965
1,N_M,11-20,0.024926686
1,N_M,21-30,0.006353861
1,N_M,31-40,0.002932551
1,N_M,41-50,0.000977517
1,N_M,51-60,0.0
1,N_M,61-70,0.000488759
1,N_M,71-80,0.000488759
1,N_M,81-90,0.0
1,N_M,91-100,0.0
1,N_M,>100,0.0
2,N_M,0,0.725425331
2,N_M,1-10,0.243856333
2,N_M,11-20,0.019848771
2,N_M,21-30,0.006143667
2,N_M,31-40,0.001890359
2,N_M,41-50,0.00094518
2,N_M,51-60,0.00094518
2,N_M,61-70,0.00047259
2,N_M,71-80,0.0
2,N_M,81-90,0.00047259
2,N_M,91-100,0.0
2,N_M,>100,0.0
3,N_M,0,0.703629032
3,N_M,1-10,0.260584677
3,N_M,11-20,0.021169355
3,N_M,21-30,0.008064516
3,N_M,31-40,0.002520161
3,N_M,41-50,0.001512097
3,N_M,51-60,0.001512097
3,N_M,61-70,0.000504032
3,N_M,71-80,0.000504032
3,N_M,81-90,0.0
3,N_M,91-100,0.0
3,N_M,>100,0.0
4,N_M,0,0.727648579
4,N_M,1-10,0.244444444
4,N_M,11-20,0.019638243
4,N_M,21-30,0.005167959
4,N_M,31-40,0.001033592
4,N_M,41-50,0.000516796
4,N_M,51-60,0.000516796
4,N_M,61-70,0.000516796
4,N_M,71-80,0.0
4,N_M,81-90,0.0
4,N_M,91-100,0.0
4,N_M,>100,0.000516796
5,N_M,0,0.720418848
5,N_M,1-10,0.25078534
5,N_M,11-20,0.017277487
5,N_M,21-30,0.005759162
5,N_M,31-40,0.004712042
5,N_M,41-50,0.00052356
5,N_M,51-60,0.0
5,N_M,61-70,0.0
5,N_M,71-80,0.00052356
5,N_M,81-90,0.0
5,N_M,91-100,0.0
5,N_M,>100,0.0
6,N_M,0,0.73814433
6,N_M,1-10,0.228350515
6,N_M,11-20,0.021649485
6,N_M,21-30,0.006185567
6,N_M,31-40,0.003092784
6,N_M,41-50,0.001030928
6,N_M,51-60,0.000515464
6,N_M,61-70,0.000515464
6,N_M,71-80,0.0
6,N_M,81-90,0.000515464
6,N_M,91-100,0.0
6,N_M,>100,0.0
7,N_M,0,0.739712444
7,N_M,1-10,0.229053049
7,N_M,11-20,0.02131879
7,N_M,21-30,0.00594943
7,N_M,31-40,0.002478929
7,N_M,41-50,0.0
7,N_M,51-60,0.000991572
7,N_M,61-70,0.000495786
7,N_M,71-80,0.0
7,N_M,81-90,0.0
7,N_M,91-100,0.0
7,N_M,>100,0.0
8,N_M,0,0.720535255
8,N_M,1-10,0.248069995
8,N_M,11-20,0.018013381
8,N_M,21-30,0.008234689
8,N_M,31-40,0.003088008
8,N_M,41-50,0.001029336
8,N_M,51-60,0.0
8,N_M,61-70,0.0
8,N_M,71-80,0.001029336
8,N_M,81-90,0.0
8,N_M,91-100,0.0
8,N_M,>100,0.0
9,N_M,0,0.724961079
9,N_M,1-10,0.243902439
9,N_M,11-20,0.021276596
9,N_M,21-30,0.005189414
9,N_M,31-40,0.003113648
9,N_M,41-50,0.001556824
9,N_M,51-60,0.0
9,N_M,61-70,0.0
9,N_M,71-80,0.0
9,N_M,81-90,0.0
9,N_M,91-100,0.0
9,N_M,>100,0.0
10,N_M,0,0.700273973
10,N_M,1-10,0.270684932
10,N_M,11-20,0.021369863
10,N_M,21-30,0.004383562
10,N_M,31-40,0.00109589
10,N_M,41-50,0.00109589
10,N_M,51-60,0.0
10,N_M,61-70,0.0
10,N_M,71-80,0.00109589
10,N_M,81-90,0.0
10,N_M,91-100,0.0
10,N_M,>100,0.0
11,N_M,0,0.696312364
11,N_M,1-10,0.272776573
11,N_M,11-20,0.018438178
11,N_M,21-30,0.007592191
11,N_M,31-40,0.001626898
11,N_M,41-50,0.001084599
11,N_M,51-60,0.001084599
11,N_M,61-70,0.0
11,N_M,71-80,0.0
11,N_M,81-90,0.000542299
11,N_M,91-100,0.0
11,N_M,>100,0.000542299
12,N_M,0,0.715921483
12,N_M,1-10,0.248636859
12,N_M,11-20,0.02344602
12,N_M,21-30,0.007633588
12,N_M,31-40,0.002181025
12,N_M,41-50,0.000545256
12,N_M,51-60,0.000545256
12,N_M,61-70,0.000545256
12,N_M,71-80,0.0
12,N_M,81-90,0.0
12,N_M,91-100,0.0
12,N_M,>100,0.000545256
13,N_M,0,0.708678828
13,N_M,1-10,0.247097844
13,N_M,11-20,0.02763958
13,N_M,21-30,0.006633499
13,N_M,31-40,0.004422333
13,N_M,41-50,0.002763958
13,N_M,51-60,0.002211166
13,N_M,61-70,0.0
13,N_M,71-80,0.000552792
13,N_M,81-90,0.0
13,N_M,91-100,0.0
13,N_M,>100,0.0
14,N_M,0,0.704545455
14,N_M,1-10,0.266477273
14,N_M,11-20,0.018181818
14,N_M,21-30,0.007386364
14,N_M,31-40,0.001136364
14,N_M,41-50,0.001136364
14,N_M,51-60,0.000568182
14,N_M,61-70,0.0
14,N_M,71-80,0.0
14,N_M,81-90,0.0
14,N_M,91-100,0.0
14,N_M,>100,0.000568182
15,N_M,0,0.75699888
15,N_M,1-10,0.210526316
15,N_M,11-20,0.023516237
15,N_M,21-30,0.005039194
15,N_M,31-40,0.002799552
15,N_M,41-50,0.0
15,N_M,51-60,0.0
15,N_M,61-70,0.0
15,N_M,71-80,0.00055991
15,N_M,81-90,0.0
15,N_M,91-100,0.0
15,N_M,>100,0.00055991
16,N_M,0,0.75
16,N_M,1-10,0.218891403
16,N_M,11-20,0.019230769
16,N_M,21-30,0.007918552
16,N_M,31-40,0.001696833
16,N_M,41-50,0.001696833
16,N_M,51-60,0.0
16,N_M,61-70,0.0
16,N_M,71-80,0.000565611
16,N_M,81-90,0.0
