Day,AverageDegree
1,8.327
2,7.152
3,8.031
4,7.106
5,8.395
6,7.727
7,7.26
8,7.776
9,8.411
10,8.401
11,6.895
12,7.882
13,8.173
14,7.589
15,6.643
16,7.548
17,7.536
18,7.445
19,8.976
20,6.889
21,7.255
22,8.339
23,8.075
24,7.276
25,5.371
26,5.795
27,6.223
28,5.866
29,5.388
30,5.601
Day,AverageDegree
1,8.327
2,7.152
3,8.031
4,7.106
5,8.395
6,7.727
7,7.26
8,7.776
9,8.411
10,8.401
11,6.895
12,7.882
13,8.173
14,7.589
15,6.643
16,7.548
17,7.536
18,7.445
19,8.976
20,6.889
21,7.255
22,8.339
23,8.075
24,7.276
25,5.371
26,5.795
27,6.223
28,5.866
29,5.388
30,5.601
