Day,AverageDegree
1,7.028
2,6.629
3,6.745
4,6.942
5,7.575
6,7.62
7,7.442
8,7.028
9,6.86
10,7.148
11,7.476
12,8.131
13,7.665
14,7.963
15,8.486
16,8.609
17,8.462
18,7.854
19,7.847
20,7.956
21,8.359
22,8.788
23,7.959
24,8.782
25,8.119
26,8.751
27,9.053
28,8.52
29,8.684
30,8.812
Day,AverageDegree
1,7.028
2,6.629
3,6.745
4,6.942
5,7.575
6,7.62
7,7.442
8,7.028
9,6.86
10,7.148
11,7.476
12,8.131
13,7.665
14,7.963
15,8.486
16,8.609
17,8.462
18,7.854
19,7.847
20,7.956
21,8.359
22,8.788
23,7.959
24,8.782
25,8.119
26,8.751
27,9.053
28,8.52
29,8.684
30,8.812
