Day,AverageShortestPath
1,1.3043654822335025
2,1.529479107040641
3,1.7254161043634728
4,1.9925763455373713
5,1.9245283018867925
6,1.2481346245435783
7,1.6023175542406312
8,1.3378296453470748
9,1.3178696780100718
10,1.2737689687209663
11,1.3191952147906472
12,2.0666399839903944
13,1.6276352552705105
14,2.233923778851315
15,1.7737245928119532
16,1.469139650872818
17,1.3972213922916044
18,1.330258014073495
19,1.2817084493964717
20,1.3803014370837714
21,1.5815505733356152
22,2.3257461386598535
23,1.7222042663219135
24,1.2550306211723534
25,1.3924182461987087
26,1.3286477925163334
27,2.563290455085937
28,1.4031862745098038
29,1.6274417877793406
30,2.4517086244854984
Day,AverageShortestPath
1,1.3043654822335025
2,1.529479107040641
3,1.7254161043634728
4,1.9925763455373713
5,1.9245283018867925
6,1.2481346245435783
7,1.6023175542406312
8,1.3378296453470748
9,1.3178696780100718
10,1.2737689687209663
11,1.3191952147906472
12,2.0666399839903944
13,1.6276352552705105
14,2.233923778851315
15,1.7737245928119532
16,1.469139650872818
17,1.3972213922916044
18,1.330258014073495
19,1.2817084493964717
20,1.3803014370837714
21,1.5815505733356152
22,2.3257461386598535
23,1.7222042663219135
24,1.2550306211723534
25,1.3924182461987087
26,1.3286477925163334
27,2.563290455085937
28,1.4031862745098038
29,1.6274417877793406
30,2.4517086244854984
Day,AverageShortestPath
1,1.3043654822335025
2,1.529479107040641
3,1.7254161043634728
4,1.9925763455373713
5,1.9245283018867925
6,1.2481346245435783
7,1.6023175542406312
8,1.3378296453470748
9,1.3178696780100718
10,1.2737689687209663
11,1.3191952147906472
12,2.0666399839903944
13,1.6276352552705105
14,2.233923778851315
15,1.7737245928119532
16,1.469139650872818
17,1.3972213922916044
18,1.330258014073495
19,1.2817084493964717
20,1.3803014370837714
21,1.5815505733356152
22,2.3257461386598535
23,1.7222042663219135
24,1.2550306211723534
25,1.3924182461987087
26,1.3286477925163334
27,2.563290455085937
28,1.4031862745098038
29,1.6274417877793406
30,2.4517086244854984
Day,AverageShortestPath
1,1.3043654822335025
2,1.529479107040641
3,1.7254161043634728
4,1.9925763455373713
5,1.9245283018867925
6,1.2481346245435783
7,1.6023175542406312
8,1.3378296453470748
9,1.3178696780100718
10,1.2737689687209663
11,1.3191952147906472
12,2.0666399839903944
13,1.6276352552705105
14,2.233923778851315
15,1.7737245928119532
16,1.469139650872818
17,1.3972213922916044
18,1.330258014073495
19,1.2817084493964717
20,1.3803014370837714
21,1.5815505733356152
22,2.3257461386598535
23,1.7222042663219135
24,1.2550306211723534
25,1.3924182461987087
26,1.3286477925163334
27,2.563290455085937
28,1.4031862745098038
29,1.6274417877793406
30,2.4517086244854984
Day,AverageShortestPath
1,1.3043654822335025
2,1.529479107040641
3,1.7254161043634728
4,1.9925763455373713
5,1.9245283018867925
6,1.2481346245435783
7,1.6023175542406312
8,1.3378296453470748
9,1.3178696780100718
10,1.2737689687209663
11,1.3191952147906472
12,2.0666399839903944
13,1.6276352552705105
14,2.233923778851315
15,1.7737245928119532
16,1.469139650872818
17,1.3972213922916044
18,1.330258014073495
19,1.2817084493964717
20,1.3803014370837714
21,1.5815505733356152
22,2.3257461386598535
23,1.7222042663219135
24,1.2550306211723534
25,1.3924182461987087
26,1.3286477925163334
27,2.563290455085937
28,1.4031862745098038
29,1.6274417877793406
30,2.4517086244854984
Day,AverageShortestPath
1,1.3043654822335025
2,1.529479107040641
3,1.7254161043634728
4,1.9925763455373713
5,1.9245283018867925
6,1.2481346245435783
7,1.6023175542406312
8,1.3378296453470748
9,1.3178696780100718
10,1.2737689687209663
11,1.3191952147906472
12,2.0666399839903944
13,1.6276352552705105
14,2.233923778851315
15,1.7737245928119532
16,1.469139650872818
17,1.3972213922916044
18,1.330258014073495
19,1.2817084493964717
20,1.3803014370837714
21,1.5815505733356152
22,2.3257461386598535
23,1.7222042663219135
24,1.2550306211723534
25,1.3924182461987087
26,1.3286477925163334
27,2.563290455085937
28,1.4031862745098038
29,1.6274417877793406
30,2.4517086244854984
Day,AverageShortestPath
1,1.3043654822335025
2,1.529479107040641
3,1.7254161043634728
4,1.9925763455373713
5,1.9245283018867925
6,1.2481346245435783
7,1.6023175542406312
8,1.3378296453470748
9,1.3178696780100718
10,1.2737689687209663
11,1.3191952147906472
12,2.0666399839903944
13,1.6276352552705105
14,2.233923778851315
15,1.7737245928119532
16,1.469139650872818
17,1.3972213922916044
18,1.330258014073495
19,1.2817084493964717
20,1.3803014370837714
21,1.5815505733356152
22,2.3257461386598535
23,1.7222042663219135
24,1.2550306211723534
25,1.3924182461987087
26,1.3286477925163334
27,2.563290455085937
28,1.4031862745098038
29,1.6274417877793406
30,2.4517086244854984
Day,AverageShortestPath
1,1.3043654822335025
2,1.529479107040641
3,1.7254161043634728
4,1.9925763455373713
5,1.9245283018867925
6,1.2481346245435783
7,1.6023175542406312
8,1.3378296453470748
9,1.3178696780100718
10,1.2737689687209663
11,1.3191952147906472
12,2.0666399839903944
13,1.6276352552705105
14,2.233923778851315
15,1.7737245928119532
16,1.469139650872818
17,1.3972213922916044
18,1.330258014073495
19,1.2817084493964717
20,1.3803014370837714
21,1.5815505733356152
22,2.3257461386598535
23,1.7222042663219135
24,1.2550306211723534
25,1.3924182461987087
26,1.3286477925163334
27,2.563290455085937
28,1.4031862745098038
29,1.6274417877793406
30,2.4517086244854984
Day,AverageShortestPath
1,1.3043654822335025
2,1.529479107040641
3,1.7254161043634728
4,1.9925763455373713
5,1.9245283018867925
6,1.2481346245435783
7,1.6023175542406312
8,1.3378296453470748
9,1.3178696780100718
10,1.2737689687209663
11,1.3191952147906472
12,2.0666399839903944
13,1.6276352552705105
14,2.233923778851315
15,1.7737245928119532
16,1.469139650872818
17,1.3972213922916044
18,1.330258014073495
19,1.2817084493964717
20,1.3803014370837714
21,1.5815505733356152
22,2.3257461386598535
23,1.7222042663219135
24,1.2550306211723534
25,1.3924182461987087
26,1.3286477925163334
27,2.563290455085937
28,1.4031862745098038
29,1.6274417877793406
30,2.4517086244854984
Day,AverageShortestPath
1,1.3043654822335025
2,1.529479107040641
3,1.7254161043634728
4,1.9925763455373713
5,1.9245283018867925
6,1.2481346245435783
7,1.6023175542406312
8,1.3378296453470748
9,1.3178696780100718
10,1.2737689687209663
11,1.3191952147906472
12,2.0666399839903944
13,1.6276352552705105
14,2.233923778851315
15,1.7737245928119532
16,1.469139650872818
17,1.3972213922916044
18,1.330258014073495
19,1.2817084493964717
20,1.3803014370837714
21,1.5815505733356152
22,2.3257461386598535
23,1.7222042663219135
24,1.2550306211723534
25,1.3924182461987087
26,1.3286477925163334
27,2.563290455085937
28,1.4031862745098038
29,1.6274417877793406
30,2.4517086244854984
