Day,AverageShortestPath
1,5.5783069224710635
2,5.845917894690095
3,5.488620872397875
4,5.936888932407274
5,6.291676642198636
6,5.91165987448146
7,6.041793962295539
8,5.665255174689702
9,6.1612292712544035
10,5.869716871888425
11,5.915066071179383
12,5.8375813423393375
13,5.694006822196071
14,5.4129793404704785
15,5.776942755793326
16,5.64414992926224
17,5.727765886209953
18,5.7040458129934954
19,5.418348293570706
20,6.028803935110675
21,5.962814315910692
22,5.564186684643472
23,5.783025247865129
24,6.002225703475999
25,6.47967090248232
26,6.5976687565915935
27,6.1523767060894565
28,6.7573282847701135
29,6.5373841131775166
30,6.118651392930372
Day,AverageShortestPath
1,5.5783069224710635
2,5.845917894690095
3,5.488620872397875
4,5.936888932407274
5,6.291676642198636
6,5.91165987448146
7,6.041793962295539
8,5.665255174689702
9,6.1612292712544035
10,5.869716871888425
11,5.915066071179383
12,5.8375813423393375
13,5.694006822196071
14,5.4129793404704785
15,5.776942755793326
16,5.64414992926224
17,5.727765886209953
18,5.7040458129934954
19,5.418348293570706
20,6.028803935110675
21,5.962814315910692
22,5.564186684643472
23,5.783025247865129
24,6.002225703475999
25,6.47967090248232
26,6.5976687565915935
27,6.1523767060894565
28,6.7573282847701135
29,6.5373841131775166
30,6.118651392930372
Day,AverageShortestPath
1,5.5783069224710635
2,5.845917894690095
3,5.488620872397875
4,5.936888932407274
5,6.291676642198636
6,5.91165987448146
7,6.041793962295539
8,5.665255174689702
9,6.1612292712544035
10,5.869716871888425
11,5.915066071179383
12,5.8375813423393375
13,5.694006822196071
14,5.4129793404704785
15,5.776942755793326
16,5.64414992926224
17,5.727765886209953
18,5.7040458129934954
19,5.418348293570706
20,6.028803935110675
21,5.962814315910692
22,5.564186684643472
23,5.783025247865129
24,6.002225703475999
25,6.47967090248232
26,6.5976687565915935
27,6.1523767060894565
28,6.7573282847701135
29,6.5373841131775166
30,6.118651392930372
Day,AverageShortestPath
1,5.5783069224710635
2,5.845917894690095
3,5.488620872397875
4,5.936888932407274
5,6.291676642198636
6,5.91165987448146
7,6.041793962295539
8,5.665255174689702
9,6.1612292712544035
10,5.869716871888425
11,5.915066071179383
12,5.8375813423393375
13,5.694006822196071
14,5.4129793404704785
15,5.776942755793326
16,5.64414992926224
17,5.727765886209953
18,5.7040458129934954
19,5.418348293570706
20,6.028803935110675
21,5.962814315910692
22,5.564186684643472
23,5.783025247865129
24,6.002225703475999
25,6.47967090248232
26,6.5976687565915935
27,6.1523767060894565
28,6.7573282847701135
29,6.5373841131775166
30,6.118651392930372
Day,AverageShortestPath
1,5.5783069224710635
2,5.845917894690095
3,5.488620872397875
4,5.936888932407274
5,6.291676642198636
6,5.91165987448146
7,6.041793962295539
8,5.665255174689702
9,6.1612292712544035
10,5.869716871888425
11,5.915066071179383
12,5.8375813423393375
13,5.694006822196071
14,5.4129793404704785
15,5.776942755793326
16,5.64414992926224
17,5.727765886209953
18,5.7040458129934954
19,5.418348293570706
20,6.028803935110675
21,5.962814315910692
22,5.564186684643472
23,5.783025247865129
24,6.002225703475999
25,6.47967090248232
26,6.5976687565915935
27,6.1523767060894565
28,6.7573282847701135
29,6.5373841131775166
30,6.118651392930372
Day,AverageShortestPath
1,5.5783069224710635
2,5.845917894690095
3,5.488620872397875
4,5.936888932407274
5,6.291676642198636
6,5.91165987448146
7,6.041793962295539
8,5.665255174689702
9,6.1612292712544035
10,5.869716871888425
11,5.915066071179383
12,5.8375813423393375
13,5.694006822196071
14,5.4129793404704785
15,5.776942755793326
16,5.64414992926224
17,5.727765886209953
18,5.7040458129934954
19,5.418348293570706
20,6.028803935110675
21,5.962814315910692
22,5.564186684643472
23,5.783025247865129
24,6.002225703475999
25,6.47967090248232
26,6.5976687565915935
27,6.1523767060894565
28,6.7573282847701135
29,6.5373841131775166
30,6.118651392930372
Day,AverageShortestPath
1,5.5783069224710635
2,5.845917894690095
3,5.488620872397875
4,5.936888932407274
5,6.291676642198636
6,5.91165987448146
7,6.041793962295539
8,5.665255174689702
9,6.1612292712544035
10,5.869716871888425
11,5.915066071179383
12,5.8375813423393375
13,5.694006822196071
14,5.4129793404704785
15,5.776942755793326
16,5.64414992926224
17,5.727765886209953
18,5.7040458129934954
19,5.418348293570706
20,6.028803935110675
21,5.962814315910692
22,5.564186684643472
23,5.783025247865129
24,6.002225703475999
25,6.47967090248232
26,6.5976687565915935
27,6.1523767060894565
28,6.7573282847701135
29,6.5373841131775166
30,6.118651392930372
Day,AverageShortestPath
1,5.5783069224710635
2,5.845917894690095
3,5.488620872397875
4,5.936888932407274
5,6.291676642198636
6,5.91165987448146
7,6.041793962295539
8,5.665255174689702
9,6.1612292712544035
10,5.869716871888425
11,5.915066071179383
12,5.8375813423393375
13,5.694006822196071
14,5.4129793404704785
15,5.776942755793326
Day,AverageShortestPath
1,5.5783069224710635
2,5.845917894690095
3,5.488620872397875
4,5.936888932407274
5,6.291676642198636
6,5.91165987448146
7,6.041793962295539
8,5.665255174689702
9,6.1612292712544035
10,5.869716871888425
11,5.915066071179383
12,5.8375813423393375
13,5.694006822196071
14,5.4129793404704785
15,5.776942755793326
16,5.64414992926224
17,5.727765886209953
18,5.7040458129934954
19,5.418348293570706
20,6.028803935110675
21,5.962814315910692
22,5.564186684643472
23,5.783025247865129
24,6.002225703475999
25,6.47967090248232
26,6.5976687565915935
27,6.1523767060894565
28,6.7573282847701135
29,6.5373841131775166
30,6.118651392930372
