Day,AverageShortestPath
1,4.4576363670752
2,4.515999598560665
3,4.470579750225323
4,4.332681233498319
5,4.405017707544635
6,4.357008491046467
7,4.290205487470033
8,4.336818708487008
9,4.32694725848564
10,4.350415440273081
11,4.297193298341572
12,4.211375541070857
13,4.211586807124869
14,4.302621773805288
15,4.23475255295369
16,4.13469628540758
17,4.219791516516768
18,4.28299557463296
19,4.159129267301015
20,4.255977432564692
21,4.101973201542012
22,4.121351899218468
23,4.326434407756169
24,4.222098975380066
25,4.190011945721097
26,4.06435100548446
27,4.064020616329901
28,4.186279412887375
29,4.128861067585087
30,4.092551787924538
Day,AverageShortestPath
1,4.4576363670752
2,4.515999598560665
3,4.470579750225323
4,4.332681233498319
5,4.405017707544635
6,4.357008491046467
7,4.290205487470033
8,4.336818708487008
9,4.32694725848564
10,4.350415440273081
11,4.297193298341572
12,4.211375541070857
13,4.211586807124869
14,4.302621773805288
15,4.23475255295369
16,4.13469628540758
17,4.219791516516768
18,4.28299557463296
19,4.159129267301015
20,4.255977432564692
21,4.101973201542012
22,4.121351899218468
23,4.326434407756169
24,4.222098975380066
25,4.190011945721097
26,4.06435100548446
27,4.064020616329901
28,4.186279412887375
29,4.128861067585087
30,4.092551787924538
Day,AverageShortestPath
1,4.4576363670752
2,4.515999598560665
3,4.470579750225323
4,4.332681233498319
5,4.405017707544635
6,4.357008491046467
7,4.290205487470033
8,4.336818708487008
9,4.32694725848564
10,4.350415440273081
11,4.297193298341572
12,4.211375541070857
13,4.211586807124869
14,4.302621773805288
15,4.23475255295369
16,4.13469628540758
17,4.219791516516768
18,4.28299557463296
19,4.159129267301015
20,4.255977432564692
21,4.101973201542012
22,4.121351899218468
23,4.326434407756169
24,4.222098975380066
25,4.190011945721097
26,4.06435100548446
27,4.064020616329901
28,4.186279412887375
29,4.128861067585087
30,4.092551787924538
Day,AverageShortestPath
1,4.4576363670752
2,4.515999598560665
3,4.470579750225323
4,4.332681233498319
5,4.405017707544635
6,4.357008491046467
7,4.290205487470033
8,4.336818708487008
9,4.32694725848564
10,4.350415440273081
11,4.297193298341572
12,4.211375541070857
13,4.211586807124869
14,4.302621773805288
15,4.23475255295369
16,4.13469628540758
17,4.219791516516768
18,4.28299557463296
19,4.159129267301015
20,4.255977432564692
21,4.101973201542012
22,4.121351899218468
23,4.326434407756169
24,4.222098975380066
25,4.190011945721097
26,4.06435100548446
27,4.064020616329901
28,4.186279412887375
29,4.128861067585087
30,4.092551787924538
Day,AverageShortestPath
1,4.4576363670752
2,4.515999598560665
3,4.470579750225323
4,4.332681233498319
5,4.405017707544635
6,4.357008491046467
7,4.290205487470033
8,4.336818708487008
9,4.32694725848564
10,4.350415440273081
11,4.297193298341572
12,4.211375541070857
13,4.211586807124869
14,4.302621773805288
15,4.23475255295369
16,4.13469628540758
17,4.219791516516768
18,4.28299557463296
19,4.159129267301015
20,4.255977432564692
21,4.101973201542012
22,4.121351899218468
23,4.326434407756169
24,4.222098975380066
25,4.190011945721097
26,4.06435100548446
27,4.064020616329901
28,4.186279412887375
29,4.128861067585087
30,4.092551787924538
Day,AverageShortestPath
1,4.4576363670752
2,4.515999598560665
3,4.470579750225323
4,4.332681233498319
5,4.405017707544635
6,4.357008491046467
7,4.290205487470033
