Day,ClusteringCoefficient
1,0.0010300990584676596
2,0.0011953363492588915
3,0.0014523072667231452
4,0.0032918284278122927
5,0.004057695995800991
6,0.0026598560237137414
7,0.0027134326924616197
8,0.003662084307797616
9,0.0013645114861960037
10,0.0019258631047033464
11,0.00365678536840582
12,0.0058435042662171996
13,0.002502769992830607
14,0.0043920464543374975
15,0.002549605482099086
16,0.0029626920263350403
17,0.002750984218037907
18,0.0021662802252401456
19,0.0026292060977356805
20,0.0019300126718003704
21,0.00225201683786429
22,0.005573677043417677
23,0.003936548667405377
24,0.0023013194231359313
25,0.002212052761554757
26,0.0018931683087696442
27,0.006160025271898551
28,0.005951461731269527
29,0.0028701628943326872
30,0.00450679744242349
