day,clusteringCoefficient
1,0.12703691671083905
2,0.10531386506281043
3,0.13412794940403794
4,0.12314281747006611
5,0.10108406425544496
6,0.09759628434418072
7,0.10493284419246278
8,0.12061648425284789
9,0.1583669190248262
10,0.12416912218186801
11,0.09321072197221679
12,0.11056006137658922
13,0.11125677717536218
14,0.09734480593818087
15,0.12226668198961523
16,0.13178860772875362
17,0.10934071176414464
18,0.14017683847315074
19,0.0995128957721851
20,0.1472585069114412
21,0.11350763842763119
22,0.12418543834844635
23,0.10945770065075922
24,0.1149952054197437
25,0.08112731545479679
26,0.09006137611715301
27,0.07441154138192863
28,0.08050242649157864
29,0.05898669052678671
30,0.07571615586015709
