day,clusteringCoefficient
1,0.019338203695745595
2,0.013212435233160623
3,0.028056112224448898
4,0.013738551207327226
5,0.015833333333333335
6,0.01950254381006218
7,0.031746031746031744
8,0.01953125
9,0.02015959680806384
10,0.015189873417721518
11,0.026121027427078797
12,0.016263835554551614
13,0.030181086519114688
14,0.023237800154918668
15,0.025111607142857144
16,0.030226700251889168
17,0.035541195476575124
18,0.04632012352032939
19,0.02164804469273743
20,0.01643835616438356
21,0.03496115427302997
22,0.028012449977767896
23,0.036051502145922745
24,0.06918103448275863
25,0.019023462270133164
26,0.04176334106728538
27,0.025756336876533115
28,0.049145299145299144
29,0.013532562729066817
30,0.035479632063074903
