day,clusteringCoefficient
1,0.008919534412955465
2,0.01079880523856935
3,0.011891653820744329
4,0.010466988727858293
5,0.008439850773652988
6,0.013003206270039187
7,0.010368479821343117
8,0.008459706730166688
9,0.010488267361934108
10,0.012614611925480348
11,0.010905125408942203
12,0.01229436215678239
13,0.010149994361114243
14,0.010514018691588784
15,0.012118018967334035
16,0.011421899588811615
17,0.010350492880613363
18,0.01254330426472345
19,0.010727842878362766
20,0.012140664247837009
21,0.01858352260995251
22,0.009113236814891417
23,0.013891362422083704
24,0.010902923598772412
25,0.015031757233592097
26,0.012342600673232763
27,0.00843073385706074
28,0.012001524003048006
29,0.010478734333264845
30,0.012042732275817416
