day,clusteringCoefficient
1,0.14692592388001988
2,0.12631802420210883
3,0.1604562253090353
4,0.14339100714162223
5,0.11624435617181911
6,0.11242071680866957
7,0.1200543365192809
8,0.1383226632522407
9,0.17785763759925316
10,0.1413244543100259
11,0.10610746967098832
12,0.12893401015228426
13,0.131354921952793
14,0.11281529634280084
15,0.1408515108447136
16,0.14746363879718033
17,0.12376779846659365
18,0.1622955104885965
19,0.11203353273918529
20,0.16423973501656147
21,0.12521672398601597
22,0.13842613309467494
23,0.12599131925838603
24,0.11350619435970864
25,0.08935955834505342
26,0.09854014598540146
27,0.07448776810799698
28,0.08845715759386216
29,0.06086848942224422
30,0.08022116828332419
