day,clusteringCoefficient
1,0.04832214765100671
2,0.07767669699090272
3,0.09991235758106924
4,0.09965928449744463
5,0.10714285714285714
6,0.10535714285714286
7,0.07329401853411963
8,0.056218057921635436
9,0.06282722513089005
10,0.05962988348183688
11,0.08783442705704189
12,0.0625
13,0.05158516926383665
14,0.06162587412587413
15,0.06348595613697576
16,0.05112699285321605
17,0.04007633587786259
18,0.055995475113122174
19,0.07682206172028891
20,0.09571558796718323
21,0.06870229007633588
22,0.0490148966842864
23,0.06591865357643759
24,0.08470588235294117
25,0.08955223880597014
26,0.059850374064837904
27,0.07947019867549669
28,0.1163101604278075
29,0.0787037037037037
30,0.08082901554404145
