day,clusteringCoefficient
1,0.014776989470830133
2,0.017780088380556277
3,0.022193279499869756
4,0.020089608324902444
5,0.019082177161152614
6,0.023320174189084695
7,0.015054100674298259
8,0.013385539974503733
9,0.018282618815861865
10,0.018138767916789988
11,0.020719783648845434
12,0.01774622892635315
13,0.016316297010607522
14,0.018804243008678882
15,0.01938302957872722
16,0.016832850863085665
17,0.016018306636155607
18,0.020637003459382082
19,0.020294248114741977
20,0.01995630007283321
21,0.02546130739522243
22,0.01784405844575665
23,0.024338796040889177
24,0.023641172343066875
25,0.025296095920456205
26,0.01734182976786527
27,0.017659763689493076
28,0.02289976445956556
29,0.0171764130168828
30,0.021282756623715073
