Day,ClusteringCoefficient
1,0.12474371155673351
2,0.10347526471567242
3,0.13126009311637657
4,0.12145431750509325
5,0.09948795093586368
6,0.09633881018714498
7,0.10369939116448426
8,0.11940795636696713
9,0.15586252178085305
10,0.12148534027916917
11,0.09200055142681689
12,0.10835413694721827
13,0.10940622783830829
14,0.09466424940457147
15,0.11992683670358703
16,0.12902109673075485
17,0.10795644778957801
18,0.13859807620768455
19,0.09852969844966808
20,0.14542908845945554
21,0.11226455479452055
22,0.12284503061705135
23,0.10879314958522879
24,0.11344907690426703
25,0.07990118108903854
26,0.08910454344949272
27,0.07295714712760906
28,0.07898990250091242
29,0.05869522542369184
30,0.0746667164569252
