day,density
1,0.0009067725922367456
2,0.0007737959574021191
3,0.0008804678476729621
4,0.0009288430346124966
5,0.0010155806471961143
6,0.001023484312776806
7,0.000991325715544853
8,0.0009824276112247456
9,0.0009756420888925532
10,0.0011193222782984859
11,0.001094603135743736
12,0.001092297340470152
13,0.0011404384175484428
14,0.0011783554705669544
15,0.0011345635678683566
16,0.0012333325651012657
17,0.0013075422944131125
18,0.001148429320230933
19,0.0011350298899188678
20,0.0011995515260142069
21,0.0012049828718629129
22,0.0011365933240933242
23,0.0010326955158245943
24,0.001093780527014533
25,0.0011423669843916595
26,0.0014632447833043633
27,0.0013181885379194794
28,0.0012681843637263456
29,0.0014563450984840965
30,0.0013020833333333335
