day,density
1,0.0011433843124039513
2,0.0010046164090326097
3,0.0010655084345973028
4,0.0010375999722095294
5,0.0011395456627328801
6,0.0011090848189363206
7,0.0010609226338031495
8,0.0011101670524468464
9,0.0013189085957274365
10,0.0011745974525354482
11,0.0010566451237784288
12,0.0012984416914902542
13,0.001186606299867428
14,0.001197736317122332
15,0.001279795232762758
16,0.0014394748365586275
17,0.001193658437555925
18,0.0014559681236194395
19,0.0013266538689223545
20,0.0013295158731082427
21,0.0014168053599624463
22,0.001456384268884269
23,0.0013996469013976573
24,0.0013233821355334067
25,0.0010826432367866219
26,0.0010740594380439959
27,0.0010791898684275366
28,0.0011114927783493743
29,0.0010186380029968284
30,0.0010700834690553745
