day,nEdges,TotalWeight
1,6108,15220.0
2,5669,13809.0
3,5486,14052.0
4,4993,12186.0
5,5208,14277.0
6,5174,13606.0
7,5366,13396.0
8,5248,13533.0
9,5955,14910.0
10,4971,13445.0
11,4681,11294.0
12,5450,13535.0
13,4962,13560.0
14,4775,12066.0
15,4939,10848.0
16,5369,12714.0
17,4242,11531.0
18,5288,12117.0
19,4862,14094.0
20,4158,9838.0
21,4435,10728.0
22,4917,12979.0
23,4660,12570.0
24,4321,11070.0
25,3356,7736.0
26,3004,7300.0
27,3354,8734.0
28,3416,8265.0
29,2931,6925.0
30,3202,7684.0
