Day,Type,Range,Value
1,Message,0,0.028527763627101375
1,Message,1-10,0.7325522159959246
1,Message,11-20,0.16556291390728478
1,Message,21-30,0.03871625063678044
1,Message,31-40,0.015282730514518594
1,Message,41-50,0.006113092205807438
1,Message,51-60,0.003056546102903719
1,Message,61-70,0.003565970453387672
1,Message,71-80,0.0025471217524197657
1,Message,81-90,0.0010188487009679063
1,Message,91-100,0.0015282730514518594
1,Message,>100,0.0015282730514518594
2,Message,0,0.02142857142857143
2,Message,1-10,0.7866666666666666
2,Message,11-20,0.13238095238095238
2,Message,21-30,0.030476190476190476
2,Message,31-40,0.009047619047619047
2,Message,41-50,0.009523809523809525
2,Message,51-60,0.0033333333333333335
2,Message,61-70,0.0033333333333333335
2,Message,71-80,0.0014285714285714286
2,Message,81-90,0.0004761904761904762
2,Message,91-100,0.0004761904761904762
2,Message,>100,0.0014285714285714286
3,Message,0,0.0356581017304667
3,Message,1-10,0.7461982170949135
3,Message,11-20,0.1426324069218668
3,Message,21-30,0.03932878867330886
3,Message,31-40,0.01101206082852648
3,Message,41-50,0.01048767697954903
3,Message,51-60,0.0057682223387519665
3,Message,61-70,0.0026219192448872575
3,Message,71-80,0.002097535395909806
3,Message,81-90,0.0005243838489774515
3,Message,91-100,0.0005243838489774515
3,Message,>100,0.003146303093864709
4,Message,0,0.027837259100642397
4,Message,1-10,0.7408993576017131
4,Message,11-20,0.17130620985010706
4,Message,21-30,0.032119914346895075
4,Message,31-40,0.016059957173447537
4,Message,41-50,0.004817987152034261
4,Message,51-60,0.0026766595289079227
4,Message,61-70,0.0005353319057815846
4,Message,71-80,0.0005353319057815846
4,Message,81-90,0.0016059957173447537
4,Message,91-100,0.0005353319057815846
4,Message,>100,0.0010706638115631692
5,Message,0,0.03776683087027915
5,Message,1-10,0.7104542966611932
5,Message,11-20,0.18609742747673783
5,Message,21-30,0.03776683087027915
5,Message,31-40,0.009304871373836891
5,Message,41-50,0.006568144499178982
5,Message,51-60,0.003284072249589491
5,Message,61-70,0.0038314176245210726
5,Message,71-80,0.0010946907498631637
5,Message,81-90,0.0021893814997263274
5,Message,91-100,0.0005473453749315818
5,Message,>100,0.0010946907498631637
6,Message,0,0.025912215758857746
6,Message,1-10,0.7863564251718668
6,Message,11-20,0.11634056054997356
6,Message,21-30,0.04019037546271814
6,Message,31-40,0.01269169751454257
6,Message,41-50,0.006345848757271285
6,Message,51-60,0.0026441036488630354
6,Message,61-70,0.004759386567953464
6,Message,71-80,0.0015864621893178213
6,Message,81-90,0.0015864621893178213
6,Message,91-100,0.0005288207297726071
6,Message,>100,0.0010576414595452142
7,Message,0,0.024108488196885988
7,Message,1-10,0.7694625816172778
7,Message,11-20,0.1496735308890005
7,Message,21-30,0.030135610246107485
7,Message,31-40,0.014063284781516826
7,Message,41-50,0.0045203415369161224
7,Message,51-60,0.0025113008538422904
7,Message,61-70,0.0005022601707684581
7,Message,71-80,0.0005022601707684581
7,Message,81-90,0.0010045203415369162
7,Message,91-100,0.0005022601707684581
7,Message,>100,0.0030135610246107484
8,Message,0,0.02021276595744681
8,Message,1-10,0.773936170212766
8,Message,11-20,0.125
8,Message,21-30,0.043617021276595745
8,Message,31-40,0.019680851063829788
8,Message,41-50,0.005319148936170213
8,Message,51-60,0.003723404255319149
8,Message,61-70,0.0031914893617021275
8,Message,71-80,0.0026595744680851063
8,Message,81-90,0.0
8,Message,91-100,0.0010638297872340426
8,Message,>100,0.0015957446808510637
9,Message,0,0.02301255230125523
9,Message,1-10,0.7573221757322176
9,Message,11-20,0.11610878661087866
9,Message,21-30,0.056485355648535567
9,Message,31-40,0.02510460251046025
9,Message,41-50,0.00889121338912134
9,Message,51-60,0.007322175732217573
9,Message,61-70,0.0031380753138075313
9,Message,71-80,0.0005230125523012552
9,Message,81-90,0.0005230125523012552
9,Message,91-100,0.0005230125523012552
9,Message,>100,0.0010460251046025104
10,Message,0,0.03384968445209409
10,Message,1-10,0.7343660355708549
10,Message,11-20,0.1417096959265634
10,Message,21-30,0.04704532415375789
10,Message,31-40,0.01721170395869191
10,Message,41-50,0.011474469305794608
10,Message,51-60,0.004016064257028112
10,Message,61-70,0.004016064257028112
10,Message,71-80,0.002294893861158921
10,Message,81-90,0.0005737234652897303
10,Message,91-100,0.0005737234652897303
10,Message,>100,0.002868617326448652
11,Message,0,0.030922142462727776
11,Message,1-10,0.7945886250690226
11,Message,11-20,0.11595803423522916
11,Message,21-30,0.034787410270568746
11,Message,31-40,0.008282716731087797
11,Message,41-50,0.006073992269464384
11,Message,51-60,0.0033130866924351186
11,Message,61-70,0.0005521811154058532
11,Message,71-80,0.0005521811154058532
11,Message,81-90,0.0027609055770292656
11,Message,91-100,0.0005521811154058532
11,Message,>100,0.0016565433462175593
12,Message,0,0.033278777959629025
12,Message,1-10,0.7561374795417348
12,Message,11-20,0.1336606655755592
12,Message,21-30,0.05182760501909438
12,Message,31-40,0.008183306055646482
12,Message,41-50,0.008183306055646482
12,Message,51-60,0.0038188761593016913
12,Message,61-70,0.0005455537370430987
12,Message,71-80,0.0010911074740861974
12,Message,81-90,0.0005455537370430987
12,Message,91-100,0.0005455537370430987
12,Message,>100,0.002182214948172395
13,Message,0,0.027435610302351622
13,Message,1-10,0.7295632698768197
13,Message,11-20,0.167973124300112
13,Message,21-30,0.03975363941769317
13,Message,31-40,0.015117581187010079
13,Message,41-50,0.007838745800671893
13,Message,51-60,0.007278835386338186
13,Message,61-70,0.0016797312430011197
13,Message,71-80,0.0011198208286674132
13,Message,81-90,0.0005599104143337066
13,Message,91-100,0.0011198208286674132
13,Message,>100,0.0005599104143337066
14,Message,0,0.03464203233256351
14,Message,1-10,0.7523094688221709
14,Message,11-20,0.12933025404157045
14,Message,21-30,0.05369515011547344
14,Message,31-40,0.013279445727482679
14,Message,41-50,0.008660508083140877
14,Message,51-60,0.004618937644341801
14,Message,61-70,0.0011547344110854503
14,Message,71-80,0.0005773672055427252
14,Message,81-90,0.0
14,Message,91-100,0.0
14,Message,>100,0.0017321016166281756
15,Message,0,0.021947101857062466
15,Message,1-10,0.8058525604952167
15,Message,11-20,0.11705120990433314
15,Message,21-30,0.030951041080472707
15,Message,31-40,0.011817670230725942
15,Message,41-50,0.004501969611705121
15,Message,51-60,0.0028137310073157004
15,Message,61-70,0.0022509848058525606
15,Message,71-80,0.0016882386043894203
15,Message,81-90,0.0
15,Message,91-100,0.0
15,Message,>100,0.0011254924029262803
16,Message,0,0.021288515406162466
16,Message,1-10,0.7619047619047619
16,Message,11-20,0.1546218487394958
16,Message,21-30,0.03081232492997199
16,Message,31-40,0.015126050420168067
16,Message,41-50,0.00784313725490196
16,Message,51-60,0.0033613445378151263
16,Message,61-70,0.002240896358543417
16,Message,71-80,0.0005602240896358543
16,Message,81-90,0.0005602240896358543
16,Message,91-100,0.0005602240896358543
16,Message,>100,0.0011204481792717086
17,Message,0,0.02894088669950739
17,Message,1-10,0.770320197044335
17,Message,11-20,0.1336206896551724
17,Message,21-30,0.03140394088669951
17,Message,31-40,0.017241379310344827
17,Message,41-50,0.009236453201970444
17,Message,51-60,0.003694581280788177
17,Message,61-70,0.0018472906403940886
17,Message,71-80,0.0012315270935960591
17,Message,81-90,0.0
17,Message,91-100,0.0006157635467980296
17,Message,>100,0.0018472906403940886
18,Message,0,0.025418833044482957
18,Message,1-10,0.7660311958405546
18,Message,11-20,0.15482380127094164
18,Message,21-30,0.02830733679953784
18,Message,31-40,0.009820912767186597
18,Message,41-50,0.005777007510109763
18,Message,51-60,0.0028885037550548816
18,Message,61-70,0.0017331022530329288
18,Message,71-80,0.0011554015020219526
18,Message,81-90,0.0011554015020219526
