Day,Type,Range,Value
1,Trade,0,0.1661676646706587
1,Trade,1-10,0.6534431137724551
1,Trade,11-20,0.10404191616766467
1,Trade,21-30,0.033682634730538924
1,Trade,31-40,0.021706586826347306
1,Trade,41-50,0.006736526946107785
1,Trade,51-60,0.004491017964071856
1,Trade,61-70,0.0029940119760479044
1,Trade,71-80,0.0014970059880239522
1,Trade,81-90,0.0014970059880239522
1,Trade,91-100,0.0
1,Trade,>100,0.0037425149700598802
2,Trade,0,0.16514459665144596
2,Trade,1-10,0.654490106544901
2,Trade,11-20,0.1141552511415525
2,Trade,21-30,0.0319634703196347
2,Trade,31-40,0.01598173515981735
2,Trade,41-50,0.00380517503805175
2,Trade,51-60,0.0060882800608828
2,Trade,61-70,0.0030441400304414
2,Trade,71-80,0.0030441400304414
2,Trade,81-90,0.0015220700152207
2,Trade,91-100,0.0
2,Trade,>100,0.00076103500761035
3,Trade,0,0.15642023346303502
3,Trade,1-10,0.6614785992217899
3,Trade,11-20,0.1066147859922179
3,Trade,21-30,0.038910505836575876
3,Trade,31-40,0.017120622568093387
3,Trade,41-50,0.00933852140077821
3,Trade,51-60,0.0038910505836575876
3,Trade,61-70,0.0023346303501945525
3,Trade,71-80,0.0015564202334630351
3,Trade,81-90,0.0
3,Trade,91-100,0.0
3,Trade,>100,0.0023346303501945525
4,Trade,0,0.17059301380991065
4,Trade,1-10,0.6482534524776604
4,Trade,11-20,0.10641754670999187
4,Trade,21-30,0.039805036555645816
4,Trade,31-40,0.012997562956945572
4,Trade,41-50,0.006498781478472786
4,Trade,51-60,0.00487408610885459
4,Trade,61-70,0.002437043054427295
4,Trade,71-80,0.003249390739236393
4,Trade,81-90,0.0016246953696181965
4,Trade,91-100,0.0008123476848090983
4,Trade,>100,0.002437043054427295
5,Trade,0,0.15629984051036683
5,Trade,1-10,0.6411483253588517
5,Trade,11-20,0.11562998405103668
5,Trade,21-30,0.03907496012759171
5,Trade,31-40,0.02073365231259968
5,Trade,41-50,0.01036682615629984
5,Trade,51-60,0.007177033492822967
5,Trade,61-70,0.003189792663476874
5,Trade,71-80,0.001594896331738437
5,Trade,81-90,0.0
5,Trade,91-100,0.0007974481658692185
5,Trade,>100,0.003987240829346092
6,Trade,0,0.1656298600311042
6,Trade,1-10,0.6298600311041991
6,Trade,11-20,0.1088646967340591
6,Trade,21-30,0.048989113530326596
6,Trade,31-40,0.02177293934681182
6,Trade,41-50,0.008553654743390357
6,Trade,51-60,0.0023328149300155523
6,Trade,61-70,0.0038880248833592537
6,Trade,71-80,0.005443234836702955
6,Trade,81-90,0.0023328149300155523
6,Trade,91-100,0.0007776049766718507
6,Trade,>100,0.0015552099533437014
7,Trade,0,0.17374517374517376
7,Trade,1-10,0.6355212355212355
7,Trade,11-20,0.10810810810810811
7,Trade,21-30,0.036293436293436294
7,Trade,31-40,0.018532818532818532
7,Trade,41-50,0.010038610038610039
7,Trade,51-60,0.0069498069498069494
7,Trade,61-70,0.0023166023166023165
7,Trade,71-80,0.003861003861003861
7,Trade,81-90,0.0015444015444015444
7,Trade,91-100,0.0007722007722007722
7,Trade,>100,0.0023166023166023165
8,Trade,0,0.16679968076616122
8,Trade,1-10,0.6384676775738228
8,Trade,11-20,0.11173184357541899
8,Trade,21-30,0.041500399042298484
8,Trade,31-40,0.017557861133280128
8,Trade,41-50,0.011971268954509178
8,Trade,51-60,0.0039904229848363925
8,Trade,61-70,0.0023942537909018356
8,Trade,71-80,0.0015961691939345571
8,Trade,81-90,0.0023942537909018356
8,Trade,91-100,0.0
8,Trade,>100,0.0015961691939345571
9,Trade,0,0.17981072555205047
9,Trade,1-10,0.6324921135646687
9,Trade,11-20,0.11356466876971609
9,Trade,21-30,0.032334384858044164
9,Trade,31-40,0.01892744479495268
9,Trade,41-50,0.007886435331230283
9,Trade,51-60,0.007097791798107256
9,Trade,61-70,0.0031545741324921135
9,Trade,71-80,0.0
9,Trade,81-90,0.0015772870662460567
9,Trade,91-100,0.0007886435331230284
9,Trade,>100,0.002365930599369085
10,Trade,0,0.17067307692307693
10,Trade,1-10,0.6201923076923077
10,Trade,11-20,0.13060897435897437
10,Trade,21-30,0.03766025641025641
10,Trade,31-40,0.017628205128205128
10,Trade,41-50,0.010416666666666666
10,Trade,51-60,0.005608974358974359
10,Trade,61-70,0.003205128205128205
10,Trade,71-80,0.0
10,Trade,81-90,0.0
10,Trade,91-100,0.002403846153846154
10,Trade,>100,0.0016025641025641025
11,Trade,0,0.16265560165975104
11,Trade,1-10,0.6323651452282157
11,Trade,11-20,0.12116182572614108
11,Trade,21-30,0.04232365145228216
11,Trade,31-40,0.014107883817427386
11,Trade,41-50,0.00995850622406639
11,Trade,51-60,0.008298755186721992
11,Trade,61-70,0.0033195020746887966
11,Trade,71-80,0.0008298755186721991
11,Trade,81-90,0.0
11,Trade,91-100,0.0008298755186721991
11,Trade,>100,0.004149377593360996
12,Trade,0,0.1633187772925764
12,Trade,1-10,0.6096069868995633
12,Trade,11-20,0.11528384279475982
12,Trade,21-30,0.05851528384279476
12,Trade,31-40,0.02096069868995633
12,Trade,41-50,0.016593886462882096
12,Trade,51-60,0.005240174672489083
12,Trade,61-70,0.005240174672489083
12,Trade,71-80,0.0017467248908296944
12,Trade,81-90,0.0017467248908296944
12,Trade,91-100,0.0
12,Trade,>100,0.0017467248908296944
13,Trade,0,0.17807089859851608
13,Trade,1-10,0.6034624896949712
13,Trade,11-20,0.12283594394064304
13,Trade,21-30,0.05358615004122012
13,Trade,31-40,0.01483924154987634
13,Trade,41-50,0.008244023083264633
13,Trade,51-60,0.006595218466611707
13,Trade,61-70,0.005770816158285243
13,Trade,71-80,0.0016488046166529267
13,Trade,81-90,0.0032976092333058533
13,Trade,91-100,0.0
13,Trade,>100,0.0016488046166529267
14,Trade,0,0.18704453441295546
14,Trade,1-10,0.6032388663967612
14,Trade,11-20,0.10931174089068826
14,Trade,21-30,0.04291497975708502
14,Trade,31-40,0.026720647773279354
14,Trade,41-50,0.008906882591093117
14,Trade,51-60,0.008097165991902834
14,Trade,61-70,0.004048582995951417
14,Trade,71-80,0.0032388663967611335
14,Trade,81-90,0.0024291497975708503
14,Trade,91-100,0.0008097165991902834
14,Trade,>100,0.0032388663967611335
15,Trade,0,0.17848206839032527
15,Trade,1-10,0.591326105087573
15,Trade,11-20,0.12260216847372811
15,Trade,21-30,0.041701417848206836
15,Trade,31-40,0.02418682235195997
15,Trade,41-50,0.016680567139282735
15,Trade,51-60,0.008340283569641367
15,Trade,61-70,0.0050041701417848205
15,Trade,71-80,0.0050041701417848205
15,Trade,81-90,0.003336113427856547
15,Trade,91-100,0.0008340283569641367
15,Trade,>100,0.0025020850708924102
16,Trade,0,0.1719022687609075
16,Trade,1-10,0.599476439790576
16,Trade,11-20,0.11780104712041885
16,Trade,21-30,0.04013961605584642
16,Trade,31-40,0.03315881326352531
16,Trade,41-50,0.015706806282722512
16,Trade,51-60,0.004363001745200698
16,Trade,61-70,0.006980802792321117
16,Trade,71-80,0.0017452006980802793
16,Trade,81-90,0.0017452006980802793
16,Trade,91-100,0.0034904013961605585
16,Trade,>100,0.0034904013961605585
