Day,Type,Range,Value
1,Attack,0,0.6658354114713217
1,Attack,1-10,0.22265764161026005
1,Attack,11-20,0.04560028500178126
1,Attack,21-30,0.017100106875667972
1,Attack,31-40,0.008193801211257571
1,Attack,41-50,0.008193801211257571
1,Attack,51-60,0.004631278945493409
1,Attack,61-70,0.0024937655860349127
1,Attack,71-80,0.0017812611328820805
1,Attack,81-90,0.0024937655860349127
1,Attack,91-100,0.0014250089063056644
1,Attack,>100,0.019593872461702886
2,Attack,0,0.6691648822269807
2,Attack,1-10,0.22019985724482513
2,Attack,11-20,0.042112776588151324
2,Attack,21-30,0.02069950035688794
2,Attack,31-40,0.012134189864382585
2,Attack,41-50,0.006780870806566738
2,Attack,51-60,0.0014275517487508922
2,Attack,61-70,0.0028551034975017845
2,Attack,71-80,0.0017844396859386152
2,Attack,81-90,0.0017844396859386152
2,Attack,91-100,0.0021413276231263384
2,Attack,>100,0.01891506067094932
3,Attack,0,0.6674894217207334
3,Attack,1-10,0.2260225669957687
3,Attack,11-20,0.045839210155148094
3,Attack,21-30,0.01304654442877292
3,Attack,31-40,0.009873060648801129
3,Attack,41-50,0.007404795486600846
3,Attack,51-60,0.003526093088857546
3,Attack,61-70,0.001763046544428773
3,Attack,71-80,0.003173483779971791
3,Attack,81-90,0.0021156558533145277
3,Attack,91-100,0.001763046544428773
3,Attack,>100,0.017983074753173484
4,Attack,0,0.6760147601476014
4,Attack,1-10,0.22509225092250923
4,Attack,11-20,0.03690036900369004
4,Attack,21-30,0.016236162361623615
4,Attack,31-40,0.008118081180811807
4,Attack,41-50,0.008487084870848708
4,Attack,51-60,0.004059040590405904
4,Attack,61-70,0.0033210332103321034
4,Attack,71-80,0.002952029520295203
4,Attack,81-90,0.0018450184501845018
4,Attack,91-100,0.00036900369003690036
4,Attack,>100,0.016605166051660517
5,Attack,0,0.606156631960163
5,Attack,1-10,0.27252150294250793
5,Attack,11-20,0.057944771389769126
5,Attack,21-30,0.019918515165233137
5,Attack,31-40,0.007695789950203712
5,Attack,41-50,0.0036215482118605704
5,Attack,51-60,0.004979628791308284
5,Attack,61-70,0.003168854685377999
5,Attack,71-80,0.0022634676324128564
5,Attack,81-90,0.0022634676324128564
5,Attack,91-100,0.0
5,Attack,>100,0.019465821638750568
6,Attack,0,0.6215482118605704
6,Attack,1-10,0.2598460842009959
6,Attack,11-20,0.052059755545495696
6,Attack,21-30,0.018560434585785424
6,Attack,31-40,0.008601177003168854
6,Attack,41-50,0.005885015844273427
6,Attack,51-60,0.004074241738343142
6,Attack,61-70,0.002716161158895428
6,Attack,71-80,0.0009053870529651426
6,Attack,81-90,0.0036215482118605704
6,Attack,91-100,0.0018107741059302852
6,Attack,>100,0.020371208691715707
7,Attack,0,0.6212882594792143
7,Attack,1-10,0.25034262220191866
7,Attack,11-20,0.05756052992233897
7,Attack,21-30,0.02055733211512106
7,Attack,31-40,0.009136592051164915
7,Attack,41-50,0.008222932846048425
7,Attack,51-60,0.005025125628140704
7,Attack,61-70,0.001827318410232983
7,Attack,71-80,0.0013704888076747374
7,Attack,81-90,0.0022841480127912287
7,Attack,91-100,0.0009136592051164915
7,Attack,>100,0.02147099132023755
8,Attack,0,0.6150299677270632
8,Attack,1-10,0.2674043337943753
8,Attack,11-20,0.047487321346242506
8,Attack,21-30,0.01751959428307976
8,Attack,31-40,0.0119870908252651
8,Attack,41-50,0.007837713231904103
8,Attack,51-60,0.005071461502996773
8,Attack,61-70,0.004149377593360996
8,Attack,71-80,0.0013831258644536654
8,Attack,81-90,0.0009220839096357768
8,Attack,91-100,0.003227293683725219
8,Attack,>100,0.017980636237897647
9,Attack,0,0.6127679403541473
9,Attack,1-10,0.2646784715750233
9,Attack,11-20,0.048928238583411
9,Attack,21-30,0.02516309412861137
9,Attack,31-40,0.010251630941286114
9,Attack,41-50,0.005591798695246971
9,Attack,51-60,0.007921714818266543
9,Attack,61-70,0.002329916123019571
9,Attack,71-80,0.001863932898415657
9,Attack,81-90,0.001863932898415657
9,Attack,91-100,0.002329916123019571
9,Attack,>100,0.016309412861136997
10,Attack,0,0.6158508158508158
10,Attack,1-10,0.2592074592074592
10,Attack,11-20,0.05034965034965035
10,Attack,21-30,0.02470862470862471
10,Attack,31-40,0.012121212121212121
10,Attack,41-50,0.006060606060606061
10,Attack,51-60,0.004195804195804196
10,Attack,61-70,0.002797202797202797
10,Attack,71-80,0.0009324009324009324
10,Attack,81-90,0.0037296037296037296
10,Attack,91-100,0.0013986013986013986
10,Attack,>100,0.018648018648018648
11,Attack,0,0.6294063079777366
11,Attack,1-10,0.2541743970315399
11,Attack,11-20,0.04916512059369202
11,Attack,21-30,0.018089053803339517
11,Attack,31-40,0.010667903525046383
11,Attack,41-50,0.006957328385899814
11,Attack,51-60,0.00510204081632653
11,Attack,61-70,0.002319109461966605
11,Attack,71-80,0.0013914656771799629
11,Attack,81-90,0.003246753246753247
11,Attack,91-100,0.0027829313543599257
11,Attack,>100,0.016697588126159554
12,Attack,0,0.6248799231508165
12,Attack,1-10,0.2579250720461095
12,Attack,11-20,0.0494716618635927
12,Attack,21-30,0.01585014409221902
12,Attack,31-40,0.012968299711815562
12,Attack,41-50,0.007204610951008645
12,Attack,51-60,0.002881844380403458
12,Attack,61-70,0.0024015369836695487
12,Attack,71-80,0.0033621517771373678
