Day,Type,Range,Value
1,Message,0,0.40499235863474276
1,Message,1-10,0.46459500764136524
1,Message,11-20,0.05909322465613857
1,Message,21-30,0.023433520122261846
1,Message,31-40,0.007131940906775344
1,Message,41-50,0.004584819154355578
1,Message,51-60,0.003565970453387672
1,Message,61-70,0.0056036678553234845
1,Message,71-80,0.0015282730514518594
1,Message,81-90,0.005094243504839531
1,Message,91-100,0.0010188487009679063
1,Message,>100,0.01935812531839022
2,Message,0,0.45571428571428574
2,Message,1-10,0.430952380952381
2,Message,11-20,0.051904761904761905
2,Message,21-30,0.018095238095238095
2,Message,31-40,0.004285714285714286
2,Message,41-50,0.007142857142857143
2,Message,51-60,0.0038095238095238095
2,Message,61-70,0.006666666666666667
2,Message,71-80,0.002857142857142857
2,Message,81-90,0.002380952380952381
2,Message,91-100,0.0009523809523809524
2,Message,>100,0.015238095238095238
3,Message,0,0.3801782905086523
3,Message,1-10,0.4897745149449397
3,Message,11-20,0.06397482957524908
3,Message,21-30,0.01782905086523335
3,Message,31-40,0.0057682223387519665
3,Message,41-50,0.008390141583639224
3,Message,51-60,0.0057682223387519665
3,Message,61-70,0.007865757734661772
3,Message,71-80,0.004195070791819612
3,Message,81-90,0.002097535395909806
3,Message,91-100,0.0015731515469323545
3,Message,>100,0.012585212375458836
4,Message,0,0.44593147751605994
4,Message,1-10,0.4464668094218415
4,Message,11-20,0.04764453961456103
4,Message,21-30,0.01980728051391863
4,Message,31-40,0.006959314775160599
4,Message,41-50,0.004817987152034261
4,Message,51-60,0.0016059957173447537
4,Message,61-70,0.004282655246252677
4,Message,71-80,0.003747323340471092
4,Message,81-90,0.0010706638115631692
4,Message,91-100,0.0021413276231263384
4,Message,>100,0.015524625267665952
5,Message,0,0.41598248494800216
5,Message,1-10,0.4690749863163656
5,Message,11-20,0.055281882868089764
5,Message,21-30,0.012588943623426382
5,Message,31-40,0.0071154898741105635
5,Message,41-50,0.002736726874657909
5,Message,51-60,0.0071154898741105635
5,Message,61-70,0.0038314176245210726
5,Message,71-80,0.003284072249589491
5,Message,81-90,0.0016420361247947454
5,Message,91-100,0.0010946907498631637
