Day,Type,Range,Value
1,Trade,0,0.09505988023952096
1,Trade,1-10,0.7200598802395209
1,Trade,11-20,0.11601796407185629
1,Trade,21-30,0.033682634730538924
1,Trade,31-40,0.016467065868263474
1,Trade,41-50,0.005988023952095809
1,Trade,51-60,0.0037425149700598802
1,Trade,61-70,0.0029940119760479044
1,Trade,71-80,0.0007485029940119761
1,Trade,81-90,0.002245508982035928
1,Trade,91-100,0.0007485029940119761
1,Trade,>100,0.002245508982035928
2,Trade,0,0.0958904109589041
2,Trade,1-10,0.7298325722983258
2,Trade,11-20,0.1095890410958904
2,Trade,21-30,0.0334855403348554
2,Trade,31-40,0.015220700152207
2,Trade,41-50,0.00684931506849315
2,Trade,51-60,0.0030441400304414
2,Trade,61-70,0.00228310502283105
2,Trade,71-80,0.00228310502283105
2,Trade,81-90,0.0015220700152207
2,Trade,91-100,0.0
2,Trade,>100,0.0
3,Trade,0,0.10038910505836576
3,Trade,1-10,0.7151750972762646
3,Trade,11-20,0.10739299610894941
3,Trade,21-30,0.045914396887159536
3,Trade,31-40,0.014785992217898832
3,Trade,41-50,0.00933852140077821
3,Trade,51-60,0.0031128404669260703
3,Trade,61-70,0.0007782101167315176
3,Trade,71-80,0.0015564202334630351
3,Trade,81-90,0.0
3,Trade,91-100,0.0
3,Trade,>100,0.0015564202334630351
4,Trade,0,0.08529650690495533
4,Trade,1-10,0.7262388302193339
4,Trade,11-20,0.12022745735174654
4,Trade,21-30,0.04224207961007311
4,Trade,31-40,0.010560519902518278
4,Trade,41-50,0.0
4,Trade,51-60,0.005686433793663688
4,Trade,61-70,0.003249390739236393
4,Trade,71-80,0.002437043054427295
4,Trade,81-90,0.002437043054427295
4,Trade,91-100,0.0
4,Trade,>100,0.0016246953696181965
5,Trade,0,0.08293460925039872
5,Trade,1-10,0.7169059011164274
5,Trade,11-20,0.12280701754385964
5,Trade,21-30,0.03349282296650718
5,Trade,31-40,0.01674641148325359
5,Trade,41-50,0.009569377990430622
5,Trade,51-60,0.008771929824561403
5,Trade,61-70,0.004784688995215311
5,Trade,71-80,0.001594896331738437
5,Trade,81-90,0.0
5,Trade,91-100,0.0
5,Trade,>100,0.0023923444976076554
6,Trade,0,0.08087091757387248
6,Trade,1-10,0.7153965785381027
6,Trade,11-20,0.11119751166407466
6,Trade,21-30,0.04743390357698289
6,Trade,31-40,0.02332814930015552
6,Trade,41-50,0.00933125972006221
6,Trade,51-60,0.0038880248833592537
6,Trade,61-70,0.003110419906687403
6,Trade,71-80,0.0023328149300155523
6,Trade,81-90,0.0015552099533437014
6,Trade,91-100,0.0
6,Trade,>100,0.0015552099533437014
7,Trade,0,0.08957528957528957
7,Trade,1-10,0.7096525096525097
7,Trade,11-20,0.12046332046332046
7,Trade,21-30,0.036293436293436294
7,Trade,31-40,0.019305019305019305
7,Trade,41-50,0.009266409266409266
7,Trade,51-60,0.007722007722007722
7,Trade,61-70,0.003088803088803089
7,Trade,71-80,0.0015444015444015444
7,Trade,81-90,0.0007722007722007722
7,Trade,91-100,0.0015444015444015444
7,Trade,>100,0.0007722007722007722
8,Trade,0,0.08778930566640064
8,Trade,1-10,0.7063048683160414
8,Trade,11-20,0.13248204309656825
8,Trade,21-30,0.03272146847565842
8,Trade,31-40,0.020750199521149242
8,Trade,41-50,0.009577015163607342
8,Trade,51-60,0.00558659217877095
8,Trade,61-70,0.0023942537909018356
8,Trade,71-80,0.0
8,Trade,81-90,0.0023942537909018356
8,Trade,91-100,0.0
8,Trade,>100,0.0
9,Trade,0,0.083596214511041
9,Trade,1-10,0.7350157728706624
9,Trade,11-20,0.11435331230283911
9,Trade,21-30,0.027602523659305992
9,Trade,31-40,0.017350157728706624
9,Trade,41-50,0.011041009463722398
9,Trade,51-60,0.003943217665615142
9,Trade,61-70,0.0031545741324921135
9,Trade,71-80,0.0015772870662460567
9,Trade,81-90,0.0007886435331230284
9,Trade,91-100,0.0007886435331230284
9,Trade,>100,0.0007886435331230284
10,Trade,0,0.08733974358974358
10,Trade,1-10,0.7011217948717948
10,Trade,11-20,0.1346153846153846
10,Trade,21-30,0.03766025641025641
10,Trade,31-40,0.01842948717948718
10,Trade,41-50,0.011217948717948718
10,Trade,51-60,0.004006410256410256
10,Trade,61-70,0.004807692307692308
10,Trade,71-80,0.0
10,Trade,81-90,0.0
10,Trade,91-100,0.0008012820512820513
10,Trade,>100,0.0
11,Trade,0,0.0912863070539419
11,Trade,1-10,0.7012448132780082
