day,diameter
1,0.4643510054844607
2,0.46441947565543074
3,0.48828125
4,0.49377593360995853
5,0.4811320754716981
6,0.4511545293072824
7,0.45857418111753373
8,0.49676025917926564
9,0.43144424131627057
10,0.42135922330097086
11,0.4876190476190476
12,0.4693069306930693
13,0.4592198581560284
14,0.4267515923566879
15,0.43594009983361065
16,0.4701492537313433
17,0.4860335195530726
18,0.40293040293040294
19,0.4207436399217221
20,0.4392935982339956
21,0.5083333333333333
22,0.4835164835164835
23,0.4954627949183303
24,0.5198329853862212
25,0.49455337690631807
26,0.6047619047619047
27,0.5087040618955513
28,0.5219206680584552
29,0.5526315789473685
30,0.5566502463054187
