day;type;player;value
1;Total;2200;1.0
1;Total;10460;0.9515939389296623
1;Total;4298;0.8306680704243219
1;Total;7682;0.6674874462914222
1;Total;6690;0.5198069242061433
2;Total;2200;1.0
2;Total;2600;0.9178683741377328
2;Total;4298;0.8225148826366452
2;Total;2347;0.6598625657752307
2;Total;6690;0.5150262652392471
3;Total;2200;1.0
3;Total;6690;0.5894180716765351
3;Total;10843;0.3692379147980362
3;Total;5402;0.3692379147980362
3;Total;862;0.36923791479803614
4;Total;862;1.0
4;Total;10843;0.9847130646254373
4;Total;7963;0.8294927239801773
4;Total;2200;0.7402184431155527
4;Total;7698;0.7273084268092357
5;Total;2200;1.0
5;Total;5402;0.577350269189626
5;Total;10843;0.5773502691896258
5;Total;7698;0.5773502691896257
5;Total;284;0.5773502691896257
6;Total;2200;1.0
6;Total;10843;0.7321428571428579
6;Total;8444;0.5773809523809533
6;Total;3092;0.5257936507936513
6;Total;7698;0.4583333333333336
7;Total;6230;0.9999999999999999
7;Total;9320;0.9048145861010242
7;Total;2200;0.8412911218829616
7;Total;10843;0.7243721463579786
7;Total;7698;0.6644034712591833
8;Total;7712;1.0
8;Total;2200;0.8185754779645614
8;Total;2600;0.7194748249830125
8;Total;7682;0.6307943223644947
8;Total;7242;0.6307943223644945
9;Total;7712;1.0
9;Total;6230;0.5115144139020021
9;Total;2200;0.4544725519566946
9;Total;4298;0.3142224335377134
9;Total;1584;0.3142224335377134
10;Total;2200;1.0
10;Total;7682;0.7004087731611598
10;Total;7712;0.697577688214309
10;Total;6337;0.5660253597286582
10;Total;2600;0.3743572570664418
11;Total;7712;1.0
11;Total;2600;0.7943407604708604
11;Total;2200;0.7468961642269426
11;Total;7698;0.5856393002834387
11;Total;8444;0.5856393002834387
12;Total;7712;0.9999999999999999
12;Total;2200;0.8538468113136196
12;Total;2600;0.7619713287962105
12;Total;4298;0.748621651802522
12;Total;7963;0.748621651802522
13;Total;2347;1.0
13;Total;7698;0.8418092253859739
13;Total;862;0.8007365981032772
13;Total;7963;0.7777460270160444
13;Total;4298;0.7547301303386087
14;Total;2200;1.0
14;Total;7698;0.8128797826285699
14;Total;6854;0.6782941611764087
14;Total;2600;0.672781273606518
14;Total;5913;0.6540832458621986
15;Total;2200;1.0
15;Total;6854;0.8732573943618788
15;Total;7712;0.7021605298818827
15;Total;7698;0.7021355021109659
15;Total;6230;0.6661659224989536
16;Total;4298;0.9999999999999999
16;Total;7712;0.9116249094058195
16;Total;7682;0.8397041423515199
16;Total;2600;0.7782161664446118
16;Total;2200;0.7743407100938898
17;Total;7712;0.9999999999999999
17;Total;4298;0.9786977973322488
17;Total;2200;0.8666062499901779
17;Total;3092;0.43796796618390554
17;Total;7682;0.3760374666643915
18;Total;2200;1.0
18;Total;4298;0.784827629175035
18;Total;7712;0.7036775578447221
18;Total;7963;0.6760229642639103
18;Total;6230;0.4193219316818046
19;Total;2200;1.0
19;Total;2347;0.8216777356855648
19;Total;4298;0.6311908641989301
19;Total;7963;0.5651893038368
19;Total;3968;0.39376159963379453
20;Total;2200;0.9999999999999999
20;Total;2600;0.7258503614258639
20;Total;9067;0.7071067811865478
20;Total;11114;0.7071067811865474
20;Total;4298;0.616792425176204
21;Total;7712;1.0
21;Total;2200;0.9974674559975909
21;Total;4298;0.979043489704845
21;Total;7682;0.7037641931334149
21;Total;862;0.7037641931334147
22;Total;3092;1.0
22;Total;4298;0.9628573410284138
22;Total;2200;0.8777651857362655
22;Total;7712;0.7303667813146463
22;Total;7682;0.5977307432534754
23;Total;2200;0.9999999999999999
23;Total;2347;0.9566076675145831
23;Total;4298;0.8240529367088741
23;Total;7682;0.8240529367088739
23;Total;5142;0.6283850316501295
24;Total;4298;1.0
24;Total;10460;0.7657575001972544
24;Total;6230;0.6408306238592827
24;Total;2200;0.5865762416223564
24;Total;9821;0.4826477796076333
25;Total;2200;1.0
25;Total;6230;0.9106836025229592
25;Total;7712;0.910683602522959
25;Total;7682;0.5773502691896257
25;Total;11383;0.5773502691896257
26;Total;2200;1.0
26;Total;4298;0.619983020843742
26;Total;9523;0.49648218835708047
26;Total;5913;0.49648218835708025
26;Total;7712;0.4782051820399882
27;Total;2200;1.0
27;Total;7948;0.6367823502084606
27;Total;11383;0.6163878235810801
27;Total;2347;0.4511361038801447
27;Total;4298;0.4511361038801443
28;Total;2200;1.0
28;Total;4298;0.7711452567785343
28;Total;9067;0.698227156233087
28;Total;6230;0.43593718633388034
28;Total;2347;0.3810290142347483
29;Total;2200;1.0
29;Total;7712;0.8349078127580715
29;Total;4298;0.6999472658532487
29;Total;7682;0.5813228881277894
29;Total;6230;0.5650211999547642
30;Total;4298;0.9999999999999999
30;Total;2200;0.9088311514202705
30;Total;7682;0.8448919437428293
30;Total;2600;0.8369672610096093
30;Total;7712;0.8345573328917506
