day,type,quantity
1,nMessage,30.0
1,nTrade,47.0
2,nMessage,123.0
2,nTrade,21.0
3,nMessage,83.0
3,nTrade,41.0
4,nMessage,64.0
4,nTrade,15.0
5,nMessage,28.0
5,nTrade,37.0
6,nMessage,67.0
6,nTrade,39.0
7,nMessage,101.0
7,nTrade,26.0
8,nMessage,179.0
8,nTrade,12.0
9,nMessage,67.0
9,nTrade,123.0
10,nMessage,71.0
10,nTrade,44.0
11,nMessage,84.0
11,nTrade,69.0
12,nMessage,222.0
12,nTrade,90.0
13,nMessage,84.0
13,nTrade,55.0
14,nMessage,103.0
14,nTrade,72.0
15,nMessage,101.0
15,nTrade,108.0
16,nMessage,110.0
16,nTrade,144.0
17,nMessage,31.0
17,nTrade,112.0
18,nMessage,87.0
18,nTrade,90.0
19,nMessage,55.0
19,nTrade,64.0
20,nMessage,64.0
20,nTrade,77.0
21,nMessage,68.0
21,nTrade,71.0
22,nMessage,56.0
22,nTrade,49.0
23,nMessage,109.0
23,nTrade,66.0
24,nMessage,58.0
24,nTrade,29.0
25,nMessage,29.0
25,nTrade,44.0
26,nMessage,48.0
26,nTrade,52.0
27,nMessage,111.0
27,nTrade,45.0
28,nMessage,109.0
28,nTrade,60.0
29,nMessage,107.0
29,nTrade,59.0
30,nMessage,209.0
30,nTrade,64.0
