day;type;player;value
1;Total;2200;0.14992496502720293
1;Total;7682;0.102777605039677
1;Total;6690;0.0834324448168224
1;Total;7698;0.0834324448168224
1;Total;4298;0.044373921790803975
2;Total;2600;0.08118839956690897
2;Total;4298;0.07969186386417007
2;Total;2200;0.07752174030089289
2;Total;7682;0.06434396981781283
2;Total;3968;0.06434396981781282
3;Total;2200;0.10136198800174388
3;Total;7682;0.09417209066718894
3;Total;4245;0.06452532138307392
3;Total;5913;0.0645253213830739
3;Total;2600;0.05655470637517499
4;Total;862;0.166087322934136
4;Total;10843;0.0732339706983286
4;Total;2200;0.06705799758262694
4;Total;7963;0.0633543485809288
4;Total;7698;0.061604489531480004
5;Total;2200;0.23079899851045857
5;Total;10843;0.11944810268786542
5;Total;2600;0.11233119350666755
5;Total;7698;0.10963472481068572
5;Total;2180;0.059285907684074546
6;Total;2200;0.15781092889428378
6;Total;2600;0.09044924676478765
6;Total;7682;0.06904748518092199
6;Total;10843;0.06727191766798798
6;Total;6759;0.05924353201551799
7;Total;2200;0.09022863551535466
7;Total;9320;0.0834628488922858
7;Total;862;0.07044442897188599
7;Total;6230;0.068352914331918
7;Total;11858;0.06711788649265805
8;Total;7712;0.11711877744501113
8;Total;2600;0.07722702573414525
8;Total;2200;0.07087188705518097
8;Total;862;0.06335707438887457
8;Total;11858;0.06335707438887457
9;Total;7712;0.19956895917379094
9;Total;6230;0.11400070403551367
9;Total;2200;0.06768070818625783
9;Total;9320;0.06275617130890979
9;Total;2600;0.06056668616092888
10;Total;2200;0.08458265547213718
10;Total;7682;0.06977441133116202
10;Total;4298;0.0624091935535588
10;Total;7712;0.05781120297663093
10;Total;5142;0.05567371474335721
11;Total;2200;0.11804068780238985
11;Total;7698;0.06229925189570576
11;Total;284;0.06229925189570576
11;Total;2600;0.05127665140216204
11;Total;4298;0.04716803899634317
12;Total;862;0.06271567891683001
12;Total;2200;0.05724677245855356
12;Total;7712;0.04602848820180662
12;Total;7698;0.04513227476106281
12;Total;2600;0.04424580258412843
13;Total;2347;0.15379467514498515
13;Total;7682;0.14084577876958895
13;Total;4298;0.04031928337226952
13;Total;2600;0.03927989496576456
13;Total;862;0.038820087899173225
14;Total;2200;0.08422757467212208
14;Total;5913;0.07014484317977934
14;Total;3281;0.06031153243531279
14;Total;10460;0.06031153243531278
14;Total;5142;0.06031153243531278
15;Total;7712;0.15882825761890187
15;Total;2200;0.0879704245271655
15;Total;7682;0.055363481486255764
15;Total;3092;0.05536348148625576
15;Total;6854;0.04464472796400795
16;Total;2600;0.08914069481408478
16;Total;4298;0.06315523441713186
16;Total;7682;0.061289993790357135
16;Total;7712;0.052583406007777694
16;Total;2200;0.05013698414180374
17;Total;7712;0.2231937841838266
17;Total;4298;0.1403975986252137
17;Total;2200;0.09838691548970357
17;Total;5142;0.054280830184495345
17;Total;7682;0.05244445388526865
18;Total;2200;0.07983190304748387
18;Total;9135;0.07429516191363751
18;Total;9067;0.07429516191363751
18;Total;4298;0.040041537893653806
18;Total;7712;0.0360608002083198
19;Total;2200;0.12002983543970212
19;Total;2600;0.10039390236926536
19;Total;3092;0.09734736430267335
19;Total;2347;0.06154775183694181
19;Total;4298;0.055174568506789194
20;Total;2200;0.07368167305713309
20;Total;3968;0.0729443864616927
20;Total;9821;0.0729443864616927
20;Total;8321;0.0729443864616927
20;Total;11383;0.0729443864616927
21;Total;2200;0.20040938501905686
21;Total;4298;0.12822788568580643
21;Total;2600;0.07056188393838424
21;Total;7682;0.060563021257914997
21;Total;862;0.060563021257914997
22;Total;2200;0.09013986573581816
22;Total;3092;0.08406120555642208
22;Total;2600;0.08274542434164742
22;Total;7682;0.06363416870545896
22;Total;11817;0.062774710392423
23;Total;4245;0.08057579559654005
23;Total;5913;0.08057579559654005
23;Total;2200;0.05875056997159997
23;Total;2347;0.03909525539233216
23;Total;9821;0.03500553155074736
24;Total;4298;0.09762806831178887
24;Total;8149;0.09139977653313716
24;Total;1584;0.09139977653313716
24;Total;9821;0.08393531289068441
24;Total;2200;0.07976057675904231
25;Total;2600;0.13713750401273242
25;Total;2200;0.11652698544673147
25;Total;7948;0.10563294228007764
25;Total;11044;0.07412838054742292
25;Total;9067;0.049122729008665905
26;Total;2200;0.22928653955812403
26;Total;5913;0.11051363705734125
26;Total;11383;0.10530373269349351
26;Total;12250;0.07644603289904559
26;Total;2600;0.052379689208605314
27;Total;7963;0.12714984523668563
27;Total;2200;0.0907010320652856
27;Total;4298;0.07767185335067014
27;Total;862;0.06225267789957158
27;Total;7712;0.05475995782653456
28;Total;2600;0.1261732738788755
28;Total;2200;0.10055598995727304
28;Total;862;0.07235985725488416
28;Total;4298;0.06371764114431289
28;Total;9067;0.05154740419579964
29;Total;2200;0.1788934520205363
29;Total;7682;0.0865458248896098
29;Total;7712;0.08367427638397724
29;Total;2600;0.07533382200344742
29;Total;11817;0.06662677285822687
30;Total;2200;0.0973805298316938
30;Total;2600;0.0907524070396085
30;Total;4298;0.05848375130638247
30;Total;7682;0.054072600155501374
30;Total;2347;0.04674971863549125
day;type;player;value
1;Total;2200;0.14992496502720293
1;Total;7682;0.102777605039677
1;Total;6690;0.0834324448168224
1;Total;7698;0.0834324448168224
1;Total;4298;0.044373921790803975
2;Total;2600;0.08118839956690897
2;Total;4298;0.07969186386417007
2;Total;2200;0.07752174030089289
2;Total;7682;0.06434396981781283
2;Total;3968;0.06434396981781282
3;Total;2200;0.10136198800174388
3;Total;7682;0.09417209066718894
3;Total;4245;0.06452532138307392
3;Total;5913;0.0645253213830739
3;Total;2600;0.05655470637517499
4;Total;862;0.166087322934136
4;Total;10843;0.0732339706983286
4;Total;2200;0.06705799758262694
4;Total;7963;0.0633543485809288
4;Total;7698;0.061604489531480004
5;Total;2200;0.23079899851045857
5;Total;10843;0.11944810268786542
5;Total;2600;0.11233119350666755
5;Total;7698;0.10963472481068572
5;Total;2180;0.059285907684074546
6;Total;2200;0.15781092889428378
6;Total;2600;0.09044924676478765
6;Total;7682;0.06904748518092199
6;Total;10843;0.06727191766798798
6;Total;6759;0.05924353201551799
7;Total;2200;0.09022863551535466
7;Total;9320;0.0834628488922858
7;Total;862;0.07044442897188599
7;Total;6230;0.068352914331918
7;Total;11858;0.06711788649265805
8;Total;7712;0.11711877744501113
8;Total;2600;0.07722702573414525
8;Total;2200;0.07087188705518097
8;Total;862;0.06335707438887457
8;Total;11858;0.06335707438887457
9;Total;7712;0.19956895917379094
9;Total;6230;0.11400070403551367
9;Total;2200;0.06768070818625783
9;Total;9320;0.06275617130890979
9;Total;2600;0.06056668616092888
10;Total;2200;0.08458265547213718
10;Total;7682;0.06977441133116202
10;Total;4298;0.0624091935535588
10;Total;7712;0.05781120297663093
10;Total;5142;0.05567371474335721
11;Total;2200;0.11804068780238985
11;Total;7698;0.06229925189570576
11;Total;284;0.06229925189570576
11;Total;2600;0.05127665140216204
11;Total;4298;0.04716803899634317
12;Total;862;0.06271567891683001
12;Total;2200;0.05724677245855356
12;Total;7712;0.04602848820180662
12;Total;7698;0.04513227476106281
12;Total;2600;0.04424580258412843
13;Total;2347;0.15379467514498515
13;Total;7682;0.14084577876958895
13;Total;4298;0.04031928337226952
13;Total;2600;0.03927989496576456
13;Total;862;0.038820087899173225
14;Total;2200;0.08422757467212208
14;Total;5913;0.07014484317977934
14;Total;3281;0.06031153243531279
14;Total;10460;0.06031153243531278
14;Total;5142;0.06031153243531278
15;Total;7712;0.15882825761890187
15;Total;2200;0.0879704245271655
15;Total;7682;0.055363481486255764
15;Total;3092;0.05536348148625576
15;Total;6854;0.04464472796400795
16;Total;2600;0.08914069481408478
16;Total;4298;0.06315523441713186
16;Total;7682;0.061289993790357135
16;Total;7712;0.052583406007777694
16;Total;2200;0.05013698414180374
17;Total;7712;0.2231937841838266
17;Total;4298;0.1403975986252137
17;Total;2200;0.09838691548970357
17;Total;5142;0.054280830184495345
17;Total;7682;0.05244445388526865
18;Total;2200;0.07983190304748387
18;Total;9135;0.07429516191363751
18;Total;9067;0.07429516191363751
18;Total;4298;0.040041537893653806
18;Total;7712;0.0360608002083198
19;Total;2200;0.12002983543970212
19;Total;2600;0.10039390236926536
19;Total;3092;0.09734736430267335
19;Total;2347;0.06154775183694181
19;Total;4298;0.055174568506789194
20;Total;2200;0.07368167305713309
20;Total;3968;0.0729443864616927
20;Total;9821;0.0729443864616927
20;Total;8321;0.0729443864616927
20;Total;11383;0.0729443864616927
21;Total;2200;0.20040938501905686
21;Total;4298;0.12822788568580643
21;Total;2600;0.07056188393838424
21;Total;7682;0.060563021257914997
21;Total;862;0.060563021257914997
22;Total;2200;0.09013986573581816
22;Total;3092;0.08406120555642208
22;Total;2600;0.08274542434164742
22;Total;7682;0.06363416870545896
22;Total;11817;0.062774710392423
23;Total;4245;0.08057579559654005
23;Total;5913;0.08057579559654005
23;Total;2200;0.05875056997159997
23;Total;2347;0.03909525539233216
23;Total;9821;0.03500553155074736
24;Total;4298;0.09762806831178887
24;Total;8149;0.09139977653313716
24;Total;1584;0.09139977653313716
24;Total;9821;0.08393531289068441
24;Total;2200;0.07976057675904231
25;Total;2600;0.13713750401273242
25;Total;2200;0.11652698544673147
25;Total;7948;0.10563294228007764
25;Total;11044;0.07412838054742292
25;Total;9067;0.049122729008665905
26;Total;2200;0.22928653955812403
26;Total;5913;0.11051363705734125
26;Total;11383;0.10530373269349351
26;Total;12250;0.07644603289904559
26;Total;2600;0.052379689208605314
27;Total;7963;0.12714984523668563
27;Total;2200;0.0907010320652856
27;Total;4298;0.07767185335067014
27;Total;862;0.06225267789957158
27;Total;7712;0.05475995782653456
28;Total;2600;0.1261732738788755
28;Total;2200;0.10055598995727304
28;Total;862;0.07235985725488416
28;Total;4298;0.06371764114431289
28;Total;9067;0.05154740419579964
29;Total;2200;0.1788934520205363
29;Total;7682;0.0865458248896098
29;Total;7712;0.08367427638397724
29;Total;2600;0.07533382200344742
29;Total;11817;0.06662677285822687
30;Total;2200;0.0973805298316938
30;Total;2600;0.0907524070396085
30;Total;4298;0.05848375130638247
30;Total;7682;0.054072600155501374
30;Total;2347;0.04674971863549125
day;type;player;value
1;Total;2200;0.14992496502720293
1;Total;7682;0.102777605039677
1;Total;6690;0.0834324448168224
1;Total;7698;0.0834324448168224
1;Total;4298;0.044373921790803975
2;Total;2600;0.08118839956690897
2;Total;4298;0.07969186386417007
2;Total;2200;0.07752174030089289
2;Total;7682;0.06434396981781283
2;Total;3968;0.06434396981781282
3;Total;2200;0.10136198800174388
3;Total;7682;0.09417209066718894
3;Total;4245;0.06452532138307392
3;Total;5913;0.0645253213830739
3;Total;2600;0.05655470637517499
4;Total;862;0.166087322934136
4;Total;10843;0.0732339706983286
4;Total;2200;0.06705799758262694
4;Total;7963;0.0633543485809288
4;Total;7698;0.061604489531480004
5;Total;2200;0.23079899851045857
5;Total;10843;0.11944810268786542
5;Total;2600;0.11233119350666755
5;Total;7698;0.10963472481068572
5;Total;2180;0.059285907684074546
6;Total;2200;0.15781092889428378
6;Total;2600;0.09044924676478765
6;Total;7682;0.06904748518092199
6;Total;10843;0.06727191766798798
6;Total;6759;0.05924353201551799
7;Total;2200;0.09022863551535466
7;Total;9320;0.0834628488922858
7;Total;862;0.07044442897188599
7;Total;6230;0.068352914331918
7;Total;11858;0.06711788649265805
8;Total;7712;0.11711877744501113
8;Total;2600;0.07722702573414525
8;Total;2200;0.07087188705518097
8;Total;862;0.06335707438887457
8;Total;11858;0.06335707438887457
9;Total;7712;0.19956895917379094
9;Total;6230;0.11400070403551367
9;Total;2200;0.06768070818625783
9;Total;9320;0.06275617130890979
9;Total;2600;0.06056668616092888
10;Total;2200;0.08458265547213718
10;Total;7682;0.06977441133116202
10;Total;4298;0.0624091935535588
10;Total;7712;0.05781120297663093
10;Total;5142;0.05567371474335721
11;Total;2200;0.11804068780238985
11;Total;7698;0.06229925189570576
11;Total;284;0.06229925189570576
11;Total;2600;0.05127665140216204
11;Total;4298;0.04716803899634317
12;Total;862;0.06271567891683001
12;Total;2200;0.05724677245855356
12;Total;7712;0.04602848820180662
12;Total;7698;0.04513227476106281
12;Total;2600;0.04424580258412843
13;Total;2347;0.15379467514498515
13;Total;7682;0.14084577876958895
13;Total;4298;0.04031928337226952
13;Total;2600;0.03927989496576456
13;Total;862;0.038820087899173225
14;Total;2200;0.08422757467212208
14;Total;5913;0.07014484317977934
14;Total;3281;0.06031153243531279
14;Total;10460;0.06031153243531278
14;Total;5142;0.06031153243531278
15;Total;7712;0.15882825761890187
15;Total;2200;0.0879704245271655
15;Total;7682;0.055363481486255764
15;Total;3092;0.05536348148625576
15;Total;6854;0.04464472796400795
16;Total;2600;0.08914069481408478
16;Total;4298;0.06315523441713186
16;Total;7682;0.061289993790357135
16;Total;7712;0.052583406007777694
16;Total;2200;0.05013698414180374
17;Total;7712;0.2231937841838266
17;Total;4298;0.1403975986252137
17;Total;2200;0.09838691548970357
17;Total;5142;0.054280830184495345
17;Total;7682;0.05244445388526865
18;Total;2200;0.07983190304748387
18;Total;9135;0.07429516191363751
18;Total;9067;0.07429516191363751
18;Total;4298;0.040041537893653806
18;Total;7712;0.0360608002083198
19;Total;2200;0.12002983543970212
19;Total;2600;0.10039390236926536
19;Total;3092;0.09734736430267335
19;Total;2347;0.06154775183694181
19;Total;4298;0.055174568506789194
20;Total;2200;0.07368167305713309
20;Total;3968;0.0729443864616927
20;Total;9821;0.0729443864616927
20;Total;8321;0.0729443864616927
20;Total;11383;0.0729443864616927
21;Total;2200;0.20040938501905686
21;Total;4298;0.12822788568580643
21;Total;2600;0.07056188393838424
21;Total;7682;0.060563021257914997
21;Total;862;0.060563021257914997
22;Total;2200;0.09013986573581816
22;Total;3092;0.08406120555642208
22;Total;2600;0.08274542434164742
22;Total;7682;0.06363416870545896
22;Total;11817;0.062774710392423
23;Total;4245;0.08057579559654005
23;Total;5913;0.08057579559654005
23;Total;2200;0.05875056997159997
23;Total;2347;0.03909525539233216
23;Total;9821;0.03500553155074736
24;Total;4298;0.09762806831178887
24;Total;8149;0.09139977653313716
24;Total;1584;0.09139977653313716
24;Total;9821;0.08393531289068441
24;Total;2200;0.07976057675904231
25;Total;2600;0.13713750401273242
25;Total;2200;0.11652698544673147
25;Total;7948;0.10563294228007764
25;Total;11044;0.07412838054742292
25;Total;9067;0.049122729008665905
26;Total;2200;0.22928653955812403
26;Total;5913;0.11051363705734125
26;Total;11383;0.10530373269349351
26;Total;12250;0.07644603289904559
26;Total;2600;0.052379689208605314
27;Total;7963;0.12714984523668563
27;Total;2200;0.0907010320652856
27;Total;4298;0.07767185335067014
27;Total;862;0.06225267789957158
27;Total;7712;0.05475995782653456
28;Total;2600;0.1261732738788755
28;Total;2200;0.10055598995727304
28;Total;862;0.07235985725488416
28;Total;4298;0.06371764114431289
28;Total;9067;0.05154740419579964
29;Total;2200;0.1788934520205363
29;Total;7682;0.0865458248896098
29;Total;7712;0.08367427638397724
29;Total;2600;0.07533382200344742
29;Total;11817;0.06662677285822687
30;Total;2200;0.0973805298316938
30;Total;2600;0.0907524070396085
30;Total;4298;0.05848375130638247
30;Total;7682;0.054072600155501374
30;Total;2347;0.04674971863549125
day;type;player;value
1;Total;2200;0.18093002290901966
1;Total;7682;0.11016998605901722
1;Total;6690;0.07993549282036627
1;Total;7698;0.07993549282036627
1;Total;5142;0.06325383041394385
2;Total;2200;0.09355677397696519
2;Total;4298;0.08336980775682269
2;Total;2600;0.08313138918606906
2;Total;7682;0.061343946624594234
2;Total;3968;0.061343946624594234
3;Total;2200;0.12083618643387506
3;Total;7682;0.08799969134684753
3;Total;4298;0.06158345846797763
3;Total;4245;0.060296084811728844
3;Total;5913;0.06029608481172884
4;Total;862;0.19730392843669414
4;Total;11858;0.09663078891869337
4;Total;10843;0.08018041978981023
4;Total;6759;0.05995971251710205
4;Total;2200;0.05623313387822483
5;Total;2200;0.2312268828944559
5;Total;10843;0.17809956837278978
5;Total;2600;0.10973708811748009
5;Total;2180;0.057916796506447835
5;Total;6230;0.057916796506447835
6;Total;2200;0.18093006768357203
6;Total;10843;0.11491013555809503
6;Total;2600;0.09055146688211639
6;Total;7682;0.06938938357787315
6;Total;8444;0.06518902574655241
7;Total;9320;0.09946447009133888
7;Total;2200;0.0884341021106802
7;Total;6230;0.08247447766263215
7;Total;10843;0.07572223679798053
7;Total;862;0.06958458076429938
8;Total;7712;0.12393703114512018
8;Total;2200;0.09916761718960289
8;Total;2600;0.08617927848970937
8;Total;862;0.062482878374449206
8;Total;11858;0.0624828783744492
9;Total;7712;0.2297558674920575
9;Total;6230;0.12904608992157704
9;Total;2200;0.0961580172843328
9;Total;9320;0.059985270990225416
9;Total;2600;0.059117762691969646
10;Total;2200;0.09836103498960079
10;Total;7712;0.0944691667578092
10;Total;4298;0.08089877425559922
10;Total;7682;0.061440169815937154
10;Total;862;0.057519428414117585
11;Total;2200;0.11521081631429363
11;Total;7698;0.09344877323270484
11;Total;4298;0.06555428409570574
11;Total;2600;0.04686421900905394
11;Total;7963;0.030414825503863475
12;Total;862;0.09129785951285657
12;Total;5142;0.06062240558056691
12;Total;2200;0.05614289996497843
12;Total;7698;0.04936549319784448
12;Total;7712;0.044061777816872635
13;Total;2347;0.12301802052267065
13;Total;7682;0.1148613782527738
13;Total;862;0.053872063815821325
13;Total;4298;0.045484106119650564
13;Total;2600;0.045037032768711786
14;Total;2200;0.0881660416916236
14;Total;5913;0.06684137824569611
14;Total;2600;0.06176412956922284
14;Total;10460;0.06058572249926262
14;Total;5142;0.06058572249926262
15;Total;7712;0.15816492972958138
15;Total;2200;0.10087757635154314
15;Total;3092;0.06778503880681952
15;Total;2600;0.0439934563211995
15;Total;6854;0.04261223587772105
16;Total;7712;0.11985373517921166
16;Total;7682;0.08495267134800387
16;Total;4298;0.08299497039674991
16;Total;2600;0.0692102021505602
16;Total;2200;0.04537576814023873
17;Total;7712;0.21308376809761603
17;Total;4298;0.16582480540349212
17;Total;2200;0.12286946091597813
17;Total;3092;0.04236631101755254
17;Total;7682;0.04236631101755253
18;Total;2200;0.09136706874410691
18;Total;9135;0.07192780347235245
18;Total;9067;0.07192780347235245
18;Total;7712;0.05466155823145965
18;Total;4298;0.042317768391630955
19;Total;2200;0.1195730174447705
19;Total;2600;0.11139422109638075
19;Total;3092;0.10563572706640204
19;Total;3968;0.07195266685357035
19;Total;9821;0.056820464253629514
20;Total;4298;0.12479396939780965
20;Total;5142;0.09608735215067134
20;Total;3968;0.066010113568727
20;Total;9821;0.066010113568727
20;Total;8321;0.066010113568727
21;Total;4298;0.1807154936194092
21;Total;2200;0.16901330185887886
21;Total;7682;0.09289554224212221
21;Total;2600;0.06677764372354185
21;Total;7712;0.06645260420903792
22;Total;3092;0.1075870560237054
22;Total;4298;0.10481774948768584
22;Total;2200;0.09978592160569488
22;Total;11817;0.07084426532336424
22;Total;9821;0.06882805998997152
23;Total;4245;0.07892146143509256
23;Total;5913;0.07892146143509256
23;Total;2200;0.07178585719794477
23;Total;2347;0.04239085854171617
23;Total;9821;0.03428681886221244
24;Total;2200;0.15022246028675798
24;Total;7712;0.14137810385956032
24;Total;4298;0.10245590609795771
24;Total;8149;0.08160122685523784
24;Total;1584;0.08160122685523784
25;Total;2200;0.16080312598537996
25;Total;2600;0.13756179236131866
25;Total;9067;0.11346051772164573
25;Total;7948;0.09542574785424807
25;Total;11044;0.053289703347177496
26;Total;2200;0.22513865538121244
26;Total;5913;0.13967199559064442
26;Total;12250;0.07605341849072401
26;Total;11383;0.07160588703622349
26;Total;2600;0.052110675632533125
27;Total;7963;0.11497556489195015
27;Total;862;0.0895052495955768
27;Total;2200;0.08414377748357174
27;Total;2347;0.05450963871489975
27;Total;7712;0.053761496425191936
28;Total;2600;0.11895498315324655
28;Total;2200;0.10688492521160405
28;Total;862;0.06922219750997612
28;Total;6230;0.055782189525231604
28;Total;9067;0.04883040633734419
29;Total;2200;0.17723293424262826
29;Total;7712;0.09992836377003028
29;Total;2600;0.09014855553297148
29;Total;7682;0.08551106663729624
29;Total;11817;0.06662677285822685
30;Total;2600;0.10585324233311107
30;Total;2200;0.08724549837264124
30;Total;7682;0.0768578678725538
30;Total;7712;0.0659009055733008
30;Total;4298;0.050073778581758065
day;type;player;value
1;Total;2200;0.18093002290901966
1;Total;7682;0.11016998605901722
1;Total;6690;0.07993549282036627
1;Total;7698;0.07993549282036627
1;Total;5142;0.06325383041394385
2;Total;2200;0.09355677397696519
2;Total;4298;0.08336980775682269
2;Total;2600;0.08313138918606906
2;Total;7682;0.061343946624594234
2;Total;3968;0.061343946624594234
3;Total;2200;0.12083618643387506
3;Total;7682;0.08799969134684753
3;Total;4298;0.06158345846797763
3;Total;4245;0.060296084811728844
3;Total;5913;0.06029608481172884
4;Total;862;0.19730392843669414
4;Total;11858;0.09663078891869337
4;Total;10843;0.08018041978981023
4;Total;6759;0.05995971251710205
4;Total;2200;0.05623313387822483
5;Total;2200;0.2312268828944559
5;Total;10843;0.17809956837278978
5;Total;2600;0.10973708811748009
5;Total;2180;0.057916796506447835
5;Total;6230;0.057916796506447835
6;Total;2200;0.18093006768357203
6;Total;10843;0.11491013555809503
6;Total;2600;0.09055146688211639
6;Total;7682;0.06938938357787315
6;Total;8444;0.06518902574655241
7;Total;9320;0.09946447009133888
7;Total;2200;0.0884341021106802
7;Total;6230;0.08247447766263215
7;Total;10843;0.07572223679798053
7;Total;862;0.06958458076429938
8;Total;7712;0.12393703114512018
8;Total;2200;0.09916761718960289
8;Total;2600;0.08617927848970937
8;Total;862;0.062482878374449206
8;Total;11858;0.0624828783744492
9;Total;7712;0.2297558674920575
9;Total;6230;0.12904608992157704
9;Total;2200;0.0961580172843328
9;Total;9320;0.059985270990225416
9;Total;2600;0.059117762691969646
10;Total;2200;0.09836103498960079
10;Total;7712;0.0944691667578092
10;Total;4298;0.08089877425559922
10;Total;7682;0.061440169815937154
10;Total;862;0.057519428414117585
11;Total;2200;0.11521081631429363
11;Total;7698;0.09344877323270484
11;Total;4298;0.06555428409570574
11;Total;2600;0.04686421900905394
11;Total;7963;0.030414825503863475
12;Total;862;0.09129785951285657
12;Total;5142;0.06062240558056691
12;Total;2200;0.05614289996497843
12;Total;7698;0.04936549319784448
12;Total;7712;0.044061777816872635
13;Total;2347;0.12301802052267065
13;Total;7682;0.1148613782527738
13;Total;862;0.053872063815821325
13;Total;4298;0.045484106119650564
13;Total;2600;0.045037032768711786
14;Total;2200;0.0881660416916236
14;Total;5913;0.06684137824569611
14;Total;2600;0.06176412956922284
14;Total;10460;0.06058572249926262
14;Total;5142;0.06058572249926262
15;Total;7712;0.15816492972958138
15;Total;2200;0.10087757635154314
15;Total;3092;0.06778503880681952
15;Total;2600;0.0439934563211995
15;Total;6854;0.04261223587772105
16;Total;7712;0.11985373517921166
16;Total;7682;0.08495267134800387
16;Total;4298;0.08299497039674991
16;Total;2600;0.0692102021505602
16;Total;2200;0.04537576814023873
17;Total;7712;0.21308376809761603
17;Total;4298;0.16582480540349212
17;Total;2200;0.12286946091597813
17;Total;3092;0.04236631101755254
17;Total;7682;0.04236631101755253
18;Total;2200;0.09136706874410691
18;Total;9135;0.07192780347235245
18;Total;9067;0.07192780347235245
18;Total;7712;0.05466155823145965
18;Total;4298;0.042317768391630955
19;Total;2200;0.1195730174447705
19;Total;2600;0.11139422109638075
19;Total;3092;0.10563572706640204
19;Total;3968;0.07195266685357035
19;Total;9821;0.056820464253629514
20;Total;4298;0.12479396939780965
20;Total;5142;0.09608735215067134
20;Total;3968;0.066010113568727
20;Total;9821;0.066010113568727
20;Total;8321;0.066010113568727
21;Total;4298;0.1807154936194092
21;Total;2200;0.16901330185887886
21;Total;7682;0.09289554224212221
21;Total;2600;0.06677764372354185
21;Total;7712;0.06645260420903792
22;Total;3092;0.1075870560237054
22;Total;4298;0.10481774948768584
22;Total;2200;0.09978592160569488
22;Total;11817;0.07084426532336424
22;Total;9821;0.06882805998997152
23;Total;4245;0.07892146143509256
23;Total;5913;0.07892146143509256
23;Total;2200;0.07178585719794477
23;Total;2347;0.04239085854171617
23;Total;9821;0.03428681886221244
24;Total;2200;0.15022246028675798
24;Total;7712;0.14137810385956032
24;Total;4298;0.10245590609795771
24;Total;8149;0.08160122685523784
24;Total;1584;0.08160122685523784
25;Total;2200;0.16080312598537996
25;Total;2600;0.13756179236131866
25;Total;9067;0.11346051772164573
25;Total;7948;0.09542574785424807
25;Total;11044;0.053289703347177496
26;Total;2200;0.22513865538121244
26;Total;5913;0.13967199559064442
26;Total;12250;0.07605341849072401
26;Total;11383;0.07160588703622349
26;Total;2600;0.052110675632533125
27;Total;7963;0.11497556489195015
27;Total;862;0.0895052495955768
27;Total;2200;0.08414377748357174
27;Total;2347;0.05450963871489975
27;Total;7712;0.053761496425191936
28;Total;2600;0.11895498315324655
28;Total;2200;0.10688492521160405
28;Total;862;0.06922219750997612
28;Total;6230;0.055782189525231604
28;Total;9067;0.04883040633734419
29;Total;2200;0.17723293424262826
29;Total;7712;0.09992836377003028
29;Total;2600;0.09014855553297148
29;Total;7682;0.08551106663729624
29;Total;11817;0.06662677285822685
30;Total;2600;0.10585324233311107
30;Total;2200;0.08724549837264124
30;Total;7682;0.0768578678725538
30;Total;7712;0.0659009055733008
30;Total;4298;0.050073778581758065
day;type;player;value
1;Total;2200;0.18093002290901966
1;Total;7682;0.11016998605901722
1;Total;6690;0.07993549282036627
1;Total;7698;0.07993549282036627
1;Total;5142;0.06325383041394385
2;Total;2200;0.09355677397696519
2;Total;4298;0.08336980775682269
2;Total;2600;0.08313138918606906
2;Total;7682;0.061343946624594234
2;Total;3968;0.061343946624594234
3;Total;2200;0.12083618643387506
3;Total;7682;0.08799969134684753
3;Total;4298;0.06158345846797763
3;Total;4245;0.060296084811728844
3;Total;5913;0.06029608481172884
4;Total;862;0.19730392843669414
4;Total;11858;0.09663078891869337
4;Total;10843;0.08018041978981023
4;Total;6759;0.05995971251710205
4;Total;2200;0.05623313387822483
5;Total;2200;0.2312268828944559
5;Total;10843;0.17809956837278978
5;Total;2600;0.10973708811748009
5;Total;2180;0.057916796506447835
5;Total;6230;0.057916796506447835
6;Total;2200;0.18093006768357203
6;Total;10843;0.11491013555809503
6;Total;2600;0.09055146688211639
6;Total;7682;0.06938938357787315
6;Total;8444;0.06518902574655241
7;Total;9320;0.09946447009133888
7;Total;2200;0.0884341021106802
7;Total;6230;0.08247447766263215
7;Total;10843;0.07572223679798053
7;Total;862;0.06958458076429938
8;Total;7712;0.12393703114512018
8;Total;2200;0.09916761718960289
8;Total;2600;0.08617927848970937
8;Total;862;0.062482878374449206
8;Total;11858;0.0624828783744492
9;Total;7712;0.2297558674920575
9;Total;6230;0.12904608992157704
9;Total;2200;0.0961580172843328
9;Total;9320;0.059985270990225416
9;Total;2600;0.059117762691969646
10;Total;2200;0.09836103498960079
10;Total;7712;0.0944691667578092
10;Total;4298;0.08089877425559922
10;Total;7682;0.061440169815937154
10;Total;862;0.057519428414117585
11;Total;2200;0.11521081631429363
11;Total;7698;0.09344877323270484
11;Total;4298;0.06555428409570574
11;Total;2600;0.04686421900905394
11;Total;7963;0.030414825503863475
