day;averagePathLength
1;1.2
2;1.85
3;1.5384615384615385
4;1.1666666666666667
5;1.0833333333333333
6;1.1538461538461537
7;1.0769230769230769
8;1.125
9;1.1081081081081081
10;1.1764705882352942
11;1.0909090909090908
12;1.0
13;1.2
14;1.0833333333333333
15;1.0588235294117647
16;1.05
17;1.2272727272727273
18;1.2857142857142858
19;1.0833333333333333
20;1.0
21;1.368421052631579
22;1.0
23;1.0909090909090908
24;1.0
25;1.0
26;1.5172413793103448
27;1.0
28;1.0
29;1.1818181818181819
30;1.125
