day,clusteringCoefficient
1,0.0
2,0.029574861367837338
3,0.05
4,0.18181818181818182
5,0.0
6,0.16071428571428573
7,0.03139013452914798
8,0.04421518054532056
9,0.125
10,0.057692307692307696
11,0.010026737967914439
12,0.08094262295081968
13,0.02852962692026335
14,0.025280898876404494
15,0.024017467248908297
16,0.02641232575201761
17,0.21428571428571427
18,0.018900343642611683
19,0.16981132075471697
20,0.0
21,0.0
22,0.0
23,0.02178217821782178
24,0.0
25,0.0
26,0.0
27,0.035206917850525016
28,0.16666666666666666
29,0.061224489795918366
30,0.02390438247011952
