day,diameter
1,0.5
2,0.25675675675675674
3,0.4444444444444444
4,0.47368421052631576
5,0.4666666666666667
6,0.48148148148148145
7,0.1917808219178082
8,0.2602739726027397
9,0.3111111111111111
10,0.65625
11,0.11940298507462686
12,0.13709677419354838
13,0.17105263157894737
14,0.20833333333333334
15,0.1780821917808219
16,0.21621621621621623
17,0.47619047619047616
18,0.14285714285714285
19,0.3225806451612903
20,0.5
21,0.7058823529411765
22,0.43478260869565216
23,0.19402985074626866
24,0.5
25,0.23529411764705882
26,0.5384615384615384
27,0.16666666666666666
28,0.7037037037037037
29,0.6
30,0.24358974358974358
