day,diameter
1,0.6363636363636364
2,0.2676056338028169
3,0.48
4,0.47058823529411764
5,0.45454545454545453
6,0.5
7,0.19117647058823528
8,0.2463768115942029
9,0.43478260869565216
10,0.6153846153846154
11,0.11666666666666667
12,0.13445378151260504
13,0.13846153846153847
14,0.2
15,0.1746031746031746
16,0.1774193548387097
17,0.6
18,0.11594202898550725
19,0.375
20,0.5789473684210527
21,0.6923076923076923
22,0.47058823529411764
23,0.18461538461538463
24,0.6153846153846154
25,0.36363636363636365
26,0.5
27,0.136986301369863
28,0.7916666666666666
29,0.6818181818181818
30,0.2535211267605634
