day,averageDegree
1,0.833343333
2,2.120699655
3,2.371438571
4,2.206906552
5,1.00001
6,2.09376
7,1.905670377
8,3.442317692
9,1.810820811
10,1.77501
11,1.473694211
12,4.036373636
13,1.555565556
14,1.907417407
15,1.905670377
16,2.075481698
17,1.033343333
18,1.45001
19,1.617657059
20,1.72973973
21,2.266676667
22,1.75001
23,1.946438571
24,2.071438571
25,0.966676667
26,1.454555455
27,1.947378421
28,3.40626
29,3.451622903
30,3.483343333
day,averageDegree
1,6.781828182
2,6.796306296
3,6.355942203
4,2.983060847
5,7.551734138
6,9.084755763
7,9.711874407
8,4.827596207
9,29.157904737
10,7.690919091
11,2.578957368
12,5.12501
13,19.80001
14,13.277787778
15,9.547179811
16,15.094349623
17,19.150953396
18,15.00001
19,14.06001
20,10.695662174
21,14.191499362
22,5.723414255
23,1.50001
24,6.260879565
25,6.652183913
26,6.891314348
27,3.170222766
28,14.319158936
29,1.333343333
30,3.755565556
day,averageDegree
1,0.15626
2,0.516139032
3,0.617657059
4,0.80001
5,0.333343333
6,1.804888049
7,0.739140435
8,1.20001
9,2.210536316
10,0.272737273
11,0.285724286
12,1.62501
13,1.00001
14,0.214295714
15,1.517251379
16,1.00001
17,2.041676667
18,0.142867143
19,4.304357826
20,1e-05
21,1e-05
22,0.555565556
23,1.00001
24,1e-05
25,1e-05
26,1e-05
27,1e-05
28,1e-05
29,1e-05
30,1e-05
day,averageDegree
1,3.316676667
2,3.75001
3,4.982768621
4,3.423738814
5,10.683343333
6,6.583343333
7,3.140360877
8,3.385974912
9,4.473694211
10,2.203713704
11,6.166676667
12,8.945464545
13,4.181828182
14,10.109100909
15,1.545464545
16,6.037047037
17,1.186056512
18,4.865394615
19,6.826933077
20,8.471708113
21,8.396236415
22,6.769240769
23,10.150953396
24,2.098049216
25,1.788471538
26,3.31373549
27,6.60001
28,2.82001
29,1.555565556
30,6.56251
day,averageDegree
1,6.027037027
2,10.540550541
3,10.108118108
4,5.170741707
5,5.256420256
6,0.476200476
7,1.317083171
8,4.19048619
9,4.047629048
10,2.87805878
11,2.65001
12,1.571438571
13,1.56098561
14,1.390253902
15,0.35001
16,3.904771905
17,1.50001
18,6.027787778
19,3.551734138
20,1.083343333
21,0.538471538
22,3.296306296
23,5.857152857
24,7.75001
25,1.90001
26,8.90001
27,2.344837586
28,1.448285862
29,2.931044483
30,1.620699655
day,averageDegree
1,6.027037027
2,10.540550541
3,10.108118108
4,5.170741707
5,5.256420256
6,0.476200476
7,1.317083171
8,4.19048619
9,4.047629048
10,2.87805878
11,2.65001
12,1.571438571
13,1.56098561
14,1.390253902
15,0.35001
16,3.904771905
17,1.50001
18,6.027787778
19,3.551734138
20,1.083343333
21,0.538471538
22,3.296306296
23,5.857152857
24,7.75001
25,1.90001
26,8.90001
27,2.344837586
28,1.448285862
29,2.931044483
30,1.620699655
day,averageDegree
1,6.49123807
2,4.381828182
3,11.636373636
4,1.509100909
5,10.155182414
6,6.122817018
7,7.736852105
8,0.114295714
9,4.446438571
10,1.285724286
11,5.785724286
12,4.636373636
13,2.618191818
14,4.407417407
15,3.773594906
16,6.315799474
17,4.62501
18,3.315799474
19,3.571438571
20,1.218191818
21,12.109100909
22,1.714295714
23,6.607152857
24,12.607152857
25,9.381828182
26,0.93751
27,11.037745849
28,9.905670377
29,4.392166863
30,5.163275306
day,averageDegree
1,6.49123807
2,4.381828182
3,11.636373636
4,1.509100909
5,10.155182414
6,6.122817018
7,7.736852105
8,0.114295714
9,4.446438571
10,1.285724286
11,5.785724286
12,4.636373636
13,2.618191818
14,4.407417407
15,3.773594906
16,6.315799474
17,4.62501
18,3.315799474
19,3.571438571
20,1.218191818
21,12.109100909
22,1.714295714
23,6.607152857
24,12.607152857
25,9.381828182
26,0.93751
27,11.037745849
28,9.905670377
29,4.392166863
30,5.163275306
day,averageDegree
1,0.833343333
2,2.120699655
3,2.371438571
4,2.206906552
5,1.00001
6,2.09376
7,1.905670377
8,3.442317692
9,1.810820811
10,1.77501
11,1.473694211
12,4.036373636
13,1.555565556
14,1.907417407
15,1.905670377
16,2.075481698
17,1.033343333
18,1.45001
19,1.617657059
20,1.72973973
21,2.266676667
22,1.75001
23,1.946438571
24,2.071438571
25,0.966676667
26,1.454555455
27,1.947378421
28,3.40626
29,3.451622903
30,3.483343333
