day,averageDegree
1,2.138898889
2,2.482768621
3,3.542867143
4,2.724147931
5,2.321438571
6,3.31251
7,2.396236415
8,3.673086923
9,5.135145135
10,2.87501
11,2.684220526
12,5.672737273
13,2.574084074
14,3.240750741
15,3.943406226
16,4.79246283
17,4.766676667
18,2.95001
19,3.50001
20,3.810820811
21,4.633343333
22,3.28126
23,3.12501
24,3.107152857
25,2.433343333
26,3.03031303
27,2.736852105
28,5.28126
29,5.35484871
30,4.55001
day,averageDegree
1,8.272737273
2,7.759269259
3,6.949162542
4,4.016959153
5,8.051734138
6,11.101704915
7,10.610179492
8,5.137941034
9,30.052641579
10,8.181828182
11,3.052641579
12,5.839295714
13,20.109100909
14,15.277787778
15,12.132085472
16,18.00001
17,21.924538302
18,16.823539412
19,14.62001
20,11.47827087
21,15.00001
22,6.212775957
23,1.863646364
24,6.413053478
25,7.108705652
26,7.456531739
27,3.638307872
28,14.638307872
29,1.37501
30,4.00001
day,averageDegree
1,0.78126
2,1.064526129
3,0.941186471
4,1.433343333
5,0.444454444
6,2.073180732
7,0.956531739
8,1.35001
9,2.236852105
10,1.00001
11,0.523819524
12,1.81251
13,1.333343333
14,0.642867143
15,1.655182414
16,1.00001
17,2.12501
18,0.142867143
19,4.304357826
20,1e-05
21,1e-05
22,0.555565556
23,1.00001
24,1e-05
25,1e-05
26,1e-05
27,1e-05
28,1e-05
29,0.25001
30,1e-05
day,averageDegree
1,3.983343333
2,4.10001
3,5.586216897
4,3.576281186
5,11.40001
6,7.233343333
7,3.561413509
8,3.877202982
9,4.98246614
10,2.944454444
11,7.148158148
12,10.490919091
13,4.909100909
14,11.872737273
15,2.290919091
16,6.537047037
17,2.720940233
18,5.384625385
19,7.519240769
20,9.037745849
21,9.490576038
22,8.115394615
23,11.169821321
24,2.980402157
25,2.153856154
26,3.705892353
27,6.92001
28,3.22001
29,1.703713704
30,6.645843333
day,averageDegree
1,6.297307297
2,10.810820811
3,10.378388378
4,5.87805878
5,5.358984359
6,0.857152857
7,1.682936829
8,4.880962381
9,4.095248095
10,3.12196122
11,3.05001
12,1.714295714
13,2.219522195
14,1.926839268
15,0.45001
16,4.00001
17,1.50001
18,6.055565556
19,3.586216897
20,1.083343333
21,0.769240769
22,3.296306296
23,6.428581429
24,7.928581429
25,2.20001
26,9.30001
27,2.482768621
28,1.724147931
29,3.24138931
30,1.931044483
day,averageDegree
1,6.297307297
2,10.810820811
3,10.378388378
4,5.87805878
5,5.358984359
6,0.857152857
7,1.682936829
8,4.880962381
9,4.095248095
10,3.12196122
11,3.05001
12,1.714295714
13,2.219522195
14,1.926839268
15,0.45001
16,4.00001
17,1.50001
18,6.055565556
19,3.586216897
20,1.083343333
21,0.769240769
22,3.296306296
23,6.428581429
24,7.928581429
25,2.20001
26,9.30001
27,2.482768621
28,1.724147931
29,3.24138931
30,1.931044483
day,averageDegree
1,7.578957368
2,4.60001
3,12.109100909
4,1.836373636
5,10.50001
6,6.438606491
7,8.070185439
8,0.714295714
9,4.62501
10,1.696438571
11,6.107152857
12,4.854555455
13,2.854555455
14,4.555565556
15,4.132085472
16,7.49123807
17,6.232152857
18,4.052641579
19,4.035724286
20,1.654555455
21,12.981828182
22,2.589295714
23,7.553581429
24,13.892867143
25,10.509100909
26,1.56251
27,12.320764717
28,11.490576038
29,5.588245294
30,6.346948776
day,averageDegree
1,7.578957368
2,4.60001
3,12.109100909
4,1.836373636
5,10.50001
6,6.438606491
7,8.070185439
8,0.714295714
9,4.62501
10,1.696438571
11,6.107152857
12,4.854555455
13,2.854555455
14,4.555565556
15,4.132085472
16,7.49123807
17,6.232152857
18,4.052641579
19,4.035724286
20,1.654555455
21,12.981828182
22,2.589295714
23,7.553581429
24,13.892867143
25,10.509100909
26,1.56251
27,12.320764717
28,11.490576038
29,5.588245294
30,6.346948776
day,averageDegree
1,2.138898889
2,2.482768621
3,3.542867143
4,2.724147931
5,2.321438571
6,3.31251
7,2.396236415
8,3.673086923
9,5.135145135
10,2.87501
11,2.684220526
12,5.672737273
13,2.574084074
14,3.240750741
15,3.943406226
16,4.79246283
17,4.766676667
18,2.95001
19,3.50001
20,3.810820811
21,4.633343333
22,3.28126
23,3.12501
24,3.107152857
25,2.433343333
26,3.03031303
27,2.736852105
28,5.28126
29,5.35484871
30,4.55001
