day,clusteringCoefficient
1,0.06
2,0.032926829268292684
3,0.1323529411764706
4,0.14634146341463414
5,0.0
6,0.15789473684210525
7,0.0437636761487965
8,0.05243991260014567
9,0.09243697478991597
10,0.07894736842105263
11,0.023653088042049936
12,0.09026369168356999
13,0.05084745762711865
14,0.04495912806539509
15,0.05412907702984039
16,0.05644599303135889
17,0.05660377358490566
18,0.03353828954723309
19,0.12244897959183673
20,0.0
21,0.05357142857142857
22,0.09230769230769231
23,0.025674786043449638
24,0.16071428571428573
25,0.09523809523809523
26,0.0
27,0.04319136172765447
28,0.12
29,0.05357142857142857
30,0.038037486218302094
