day,type,range,value
1,Message,0,0.694444444
1,Message,1-3,0.222222222
1,Message,4-6,0.055555556
1,Message,7-9,0.0
1,Message,>9,0.027777778
1,Trade,0,0.777777778
1,Trade,1-3,0.111111111
1,Trade,4-6,0.0
1,Trade,7-9,0.055555556
1,Trade,>9,0.055555556
1,Total,0,0.583333333
1,Total,1-3,0.194444444
1,Total,4-6,0.083333333
1,Total,7-9,0.027777778
1,Total,>9,0.111111111
2,Message,0,0.017241379
2,Message,1-3,0.879310345
2,Message,4-6,0.051724138
2,Message,7-9,0.017241379
2,Message,>9,0.034482759
2,Trade,0,0.896551724
2,Trade,1-3,0.086206897
2,Trade,4-6,0.0
2,Trade,7-9,0.0
2,Trade,>9,0.017241379
2,Total,0,0.0
2,Total,1-3,0.879310345
2,Total,4-6,0.051724138
2,Total,7-9,0.0
2,Total,>9,0.068965517
3,Message,0,0.342857143
3,Message,1-3,0.485714286
3,Message,4-6,0.114285714
3,Message,7-9,0.028571429
3,Message,>9,0.028571429
3,Trade,0,0.8
3,Trade,1-3,0.057142857
3,Trade,4-6,0.085714286
3,Trade,7-9,0.028571429
3,Trade,>9,0.028571429
3,Total,0,0.342857143
3,Total,1-3,0.428571429
3,Total,4-6,0.057142857
3,Total,7-9,0.057142857
3,Total,>9,0.114285714
4,Message,0,0.517241379
4,Message,1-3,0.275862069
4,Message,4-6,0.068965517
4,Message,7-9,0.068965517
4,Message,>9,0.068965517
4,Trade,0,0.862068966
4,Trade,1-3,0.068965517
4,Trade,4-6,0.034482759
4,Trade,7-9,0.034482759
4,Trade,>9,0.0
4,Total,0,0.482758621
4,Total,1-3,0.24137931
4,Total,4-6,0.103448276
4,Total,7-9,0.103448276
4,Total,>9,0.068965517
5,Message,0,0.642857143
5,Message,1-3,0.285714286
5,Message,4-6,0.035714286
5,Message,7-9,0.0
5,Message,>9,0.035714286
5,Trade,0,0.678571429
5,Trade,1-3,0.178571429
5,Trade,4-6,0.071428571
5,Trade,7-9,0.035714286
5,Trade,>9,0.035714286
5,Total,0,0.464285714
5,Total,1-3,0.357142857
5,Total,4-6,0.071428571
5,Total,7-9,0.0
5,Total,>9,0.107142857
6,Message,0,0.5
6,Message,1-3,0.34375
6,Message,4-6,0.09375
6,Message,7-9,0.0
6,Message,>9,0.0625
6,Trade,0,0.6875
6,Trade,1-3,0.21875
6,Trade,4-6,0.03125
6,Trade,7-9,0.03125
6,Trade,>9,0.03125
6,Total,0,0.34375
6,Total,1-3,0.375
6,Total,4-6,0.125
6,Total,7-9,0.0625
6,Total,>9,0.09375
7,Message,0,0.018867925
7,Message,1-3,0.886792453
7,Message,4-6,0.037735849
7,Message,7-9,0.037735849
