day,type,quantity
1,NumberOfCreated,0
2,NumberOfCreated,3
3,NumberOfCreated,2
4,NumberOfCreated,1
5,NumberOfCreated,2
6,NumberOfCreated,4
7,NumberOfCreated,2
8,NumberOfCreated,1
9,NumberOfCreated,4
10,NumberOfCreated,4
11,NumberOfCreated,4
12,NumberOfCreated,2
13,NumberOfCreated,5
14,NumberOfCreated,4
15,NumberOfCreated,3
16,NumberOfCreated,3
17,NumberOfCreated,3
18,NumberOfCreated,2
19,NumberOfCreated,3
20,NumberOfCreated,3
21,NumberOfCreated,2
22,NumberOfCreated,5
23,NumberOfCreated,3
24,NumberOfCreated,7
25,NumberOfCreated,3
26,NumberOfCreated,1
27,NumberOfCreated,2
28,NumberOfCreated,2
29,NumberOfCreated,3
30,NumberOfCreated,4
