day,type,quantity
1,NumberOfDissolved,0
2,NumberOfDissolved,4
3,NumberOfDissolved,3
4,NumberOfDissolved,5
5,NumberOfDissolved,24
6,NumberOfDissolved,3
7,NumberOfDissolved,2
8,NumberOfDissolved,5
9,NumberOfDissolved,5
10,NumberOfDissolved,4
11,NumberOfDissolved,1
12,NumberOfDissolved,3
13,NumberOfDissolved,4
14,NumberOfDissolved,6
15,NumberOfDissolved,3
16,NumberOfDissolved,5
17,NumberOfDissolved,4
18,NumberOfDissolved,4
19,NumberOfDissolved,3
20,NumberOfDissolved,4
21,NumberOfDissolved,1
22,NumberOfDissolved,4
23,NumberOfDissolved,1
24,NumberOfDissolved,6
25,NumberOfDissolved,1
26,NumberOfDissolved,7
27,NumberOfDissolved,3
28,NumberOfDissolved,2
29,NumberOfDissolved,4
30,NumberOfDissolved,6
