day,type,quantity
1,NumberOfCommunities,232
2,NumberOfCommunities,231
3,NumberOfCommunities,230
4,NumberOfCommunities,226
5,NumberOfCommunities,204
6,NumberOfCommunities,205
7,NumberOfCommunities,205
8,NumberOfCommunities,201
9,NumberOfCommunities,200
10,NumberOfCommunities,200
11,NumberOfCommunities,203
12,NumberOfCommunities,202
13,NumberOfCommunities,203
14,NumberOfCommunities,201
15,NumberOfCommunities,201
16,NumberOfCommunities,199
17,NumberOfCommunities,198
18,NumberOfCommunities,196
19,NumberOfCommunities,196
20,NumberOfCommunities,195
21,NumberOfCommunities,196
22,NumberOfCommunities,197
23,NumberOfCommunities,199
24,NumberOfCommunities,200
25,NumberOfCommunities,202
26,NumberOfCommunities,196
27,NumberOfCommunities,195
28,NumberOfCommunities,195
29,NumberOfCommunities,194
30,NumberOfCommunities,192
