day,type,quantity
1,nAttack,32997.0
1,nTrade,9390.0
1,nMessage,15831.0
2,nAttack,32782.0
2,nTrade,8710.0
2,nMessage,14600.0
3,nAttack,30264.0
3,nTrade,8667.0
3,nMessage,14847.0
4,nAttack,23883.0
4,nTrade,8545.0
4,nMessage,12765.0
5,nAttack,18748.0
5,nTrade,9499.0
5,nMessage,14852.0
6,nAttack,22424.0
6,nTrade,9799.0
6,nMessage,14141.0
7,nAttack,23448.0
7,nTrade,9638.0
7,nMessage,13978.0
8,nAttack,22550.0
8,nTrade,8806.0
8,nMessage,14166.0
9,nAttack,22401.0
9,nTrade,8698.0
9,nMessage,15675.0
10,nAttack,22778.0
10,nTrade,8921.0
10,nMessage,14122.0
11,nAttack,22162.0
11,nTrade,9008.0
11,nMessage,12030.0
12,nAttack,21628.0
12,nTrade,9310.0
12,nMessage,14045.0
13,nAttack,20675.0
13,nTrade,9298.0
13,nMessage,14207.0
14,nAttack,22086.0
14,nTrade,9834.0
14,nMessage,12767.0
15,nAttack,19969.0
15,nTrade,10175.0
15,nMessage,11405.0
16,nAttack,22134.0
16,nTrade,9866.0
16,nMessage,13180.0
17,nAttack,22367.0
17,nTrade,9884.0
17,nMessage,11979.0
18,nAttack,21772.0
18,nTrade,9008.0
18,nMessage,12482.0
19,nAttack,18820.0
19,nTrade,8624.0
19,nMessage,14510.0
20,nAttack,18390.0
20,nTrade,8314.0
20,nMessage,10314.0
21,nAttack,18771.0
21,nTrade,8443.0
21,nMessage,11110.0
22,nAttack,16970.0
22,nTrade,8981.0
22,nMessage,13327.0
23,nAttack,16477.0
23,nTrade,8062.0
23,nMessage,12889.0
24,nAttack,16467.0
24,nTrade,8659.0
24,nMessage,11486.0
25,nAttack,15715.0
25,nTrade,8054.0
25,nMessage,7996.0
26,nAttack,18164.0
26,nTrade,8436.0
26,nMessage,7697.0
27,nAttack,17230.0
27,nTrade,9062.0
27,nMessage,9071.0
28,nAttack,17057.0
28,nTrade,8665.0
28,nMessage,8631.0
29,nAttack,16513.0
29,nTrade,8606.0
29,nMessage,7388.0
30,nAttack,16749.0
30,nTrade,8521.0
30,nMessage,8214.0
