day,users,attack,trade,message
0,3757,32997,9390,15831
1,3758,32782,8710,14600
2,3690,30264,8667,14847
3,3639,23883,8545,12765
4,3090,18748,9499,14852
5,3141,22424,9799,14141
6,3147,23448,9638,13978
7,3073,22550,8806,14166
8,3042,22401,8698,15675
9,2984,22778,8921,14122
10,3011,22162,9008,12030
11,2965,21628,9310,14045
12,2937,20675,9298,14207
13,2888,22086,9834,12767
14,2858,19969,10175,11405
15,2857,22134,9866,13180
16,2770,22367,9884,11979
17,2788,21772,9008,12482
18,2719,18820,8624,14510
19,2632,18390,8314,10314
20,2658,18771,8443,11110
21,2621,16970,8981,13327
22,2610,16477,8062,12889
23,2566,16467,8659,11486
24,2525,15715,8054,7996
25,2432,18164,8436,7697
26,2480,17230,9062,9071
27,2492,17057,8665,8631
28,2443,16513,8606,7388
29,2464,16749,8521,8214
